EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,DTO,SECC,TIPO_SECCION,LNE,Densidad_LNE,Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Var_Prop_LNE,Autocorr_LNE,CP1 (ICE principal),CP2 (segundo ICE),CP3 (tercer ICE),TCE_seccional,Atipicidad
16,MICHOACAN,53,MARCOS CASTELLANOS,4,940,R,135.0,695.8839362090307,0.9423774826105574,0.3636363636363637,0.12117331894017278,0.1254347193885451,0.9035212026879944,18.42015690667766,-6.207154111524883,3.5759453826503904,G2,Atipica en CP1
17,MORELOS,2,ATLATLAHUCAN,5,20,M,500.0,340.01124045879925,0.9797227168243152,0.14416475972540047,0.042736733893950316,0.051375109301735215,0.9832894014009904,4.8312190716528285,-1.1423912611027909,0.8452887379712732,G2,Tipica
18,NAYARIT,13,SAN PEDRO LAGUNILLAS,3,407,U,245.0,1218.2050229307954,0.9600382030334984,0.14485981308411214,0.04413422375499016,0.049633619416469335,0.9651107566559428,6.282914980436796,-3.146537307313851,1.8020320025110221,G2,Atipica en CP1
19,NUEVO LEON,18,GARCIA,7,2547,R,1078.0,1494.7344961558874,0.9573882159808969,1.0263157894736843,0.22059180236256226,0.23590955030135435,0.997564603149436,36.535477296228365,-3.3874946515363265,4.5091243159822545,G2,Atipica en CP1
20,OAXACA,26,CUILAPAM DE GUERRERO,3,2455,R,219.0,766.1529308069621,0.9643812050526244,0.3353658536585366,0.10178574252094152,0.11548867656916773,0.98545231466201,14.900849975895074,-3.4707675247907277,2.4984057732949148,G2,Atipica en CP1
21,PUEBLA,115,PUEBLA,11,1492,U,182.0,50.68829269194625,0.9800275471649238,0.1973684210526316,0.07097833370013913,0.08024059907808027,0.9542350574047498,8.477306217450582,-1.880649482392604,1.3319241897631002,G2,Atipica en CP1
22,QUERETARO,14,QUERETARO,3,754,U,10567.0,6995.461231284602,0.9762691260325459,0.2536481195871396,0.07048765689256296,0.08335002069645372,0.9989113832567684,10.344967086071565,1.0075448031507177,-3.629955367438695,G2,Atipica en CP1
23,QUINTANA ROO,9,TULUM,1,948,U,1089.0,271.6987714193221,0.9658536599229895,0.5316455696202531,0.18777262096926425,0.18118930260502147,0.9552905612743324,25.42983947699444,-4.5139194852967455,2.9793351723308388,G2,Atipica en CP1
24,SAN LUIS POTOSI,9,CERRO DE SAN PEDRO,2,166,R,80.0,282.94094205193727,0.977169930150006,0.19402985074626866,0.08092475574343164,0.08929378156547198,0.8437313674894059,9.532356189038282,-2.833284170423476,1.5538407441877569,G2,Atipica en CP1
25,SINALOA,12,MAZATLAN,1,2989,M,810.0,2486.5037793445363,0.9746578481496334,0.40625,0.09908892275909534,0.1148490538821752,0.9935020744096728,14.782645870675626,-1.7259791148535777,1.93819088348684,G2,Atipica en CP1
26,SONORA,49,HERMOSILLO,5,1537,U,1139.0,14895.144654936192,0.9122481609328058,0.07859848484848485,0.28978810278664324,0.17901136574842272,-0.04308967930145858,28.55201834886302,-16.966708316605153,5.285693440186925,G2,Atipica en CP1
27,TABASCO,4,CENTRO,6,452,M,6722.0,631.7446999483766,0.9854917067544186,0.1303178072977972,0.03969066623306774,0.04776166013553198,0.9968981775646842,4.363591972885332,1.0200532755075344,-2.7373375679504437,G2,Atipica en CP3
28,TAMAULIPAS,32,REYNOSA,9,1772,U,1970.0,4708.005901181888,0.9752928481582122,0.5235885537509667,0.16637854353488274,0.17040520789829774,0.9833846535622208,22.891280826927773,-2.6317447210539844,2.170834283605004,G2,Atipica en CP1
29,TLAXCALA,29,TEPEYANCO,2,389,R,571.0,408.3439252753501,0.9851957558569252,0.16056910569105692,0.04947157205401212,0.05900944388167938,0.9858378523902096,5.392519397655083,-0.7095972703054838,0.6860551597150539,G2,Atipica en CP1
30,VERACRUZ,174,TIHUATLAN,5,3935,R,1287.0,139.16054571538334,0.9321092850377736,0.18290441176470587,0.06497989081021997,0.07619635674897204,0.9309528370203688,11.473780436331776,-6.268589502254617,2.5778856519006634,G2,Atipica en CP1
31,YUCATAN,50,MERIDA,3,1110,U,2714.0,656.9980899203949,0.9662440390955681,0.427669647553919,0.1119637985980662,0.12875218145618195,0.9958116382700094,17.300009917285372,-2.4346192007561545,1.3352893282027951,G2,Atipica en CP1
32,ZACATECAS,49,VALPARAISO,2,1542,M,111.0,530.2747164126646,0.9661494511280436,0.4230769230769231,0.11353319636240013,0.11848093864582275,0.9512124394808992,16.552095593232586,-3.1405735714949445,2.6645617934927577,G2,Atipica en CP1
