EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,DTO,SECC,TIPO_SECCION,LNE,Densidad_LNE,Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Var_Prop_LNE,Autocorr_LNE,CP1 (ICE principal),CP2 (segundo ICE),CP3 (tercer ICE),CP4,CP5,CP6,CP7,TCE_seccional,Atipicidad
12,GUERRERO,28,CHILAPA DE ALVAREZ,6,1193,R,270.00000000000006,24.2914979757085,0.9164263775812606,0.2,0.12101146248437455,0.11644695512763815,0.7345010131607349,16.777094243465555,4.883462137705913,8.848775538974644,-2.688176669757316,2.350631478453464,-2.3990368639104083,0.9916703377309708,G3,Atípica en ICE principal
13,HIDALGO,68,TIZAYUCA,6,1769,R,2506.0000000000005,1980.12024227231,0.9782985860136972,0.2586639879457559,0.07372139795314604,0.08684673267670355,0.9961839053426964,8.90573954704176,-1.2738596152722996,1.1409706692583907,1.7908005778757032,-0.6675890092151915,1.6299439762682488,-0.2528473480072264,G3,Atípica en ICE principal
14,JALISCO,78,SAN MARTIN DE BOLAÐOS,1,2114,R,87.0,1.882872354239709,0.9641166396939992,0.4262295081967213,0.12414479151007875,0.13219513934586638,0.9657508670324876,17.104385818638033,3.0650422459003996,0.3041002843168172,2.1724991309616226,0.6069513565751943,2.7339633220516286,0.3076656481627449,G3,Atípica en ICE principal
15,MEXICO,68,OTZOLOTEPEC,18,6517,R,197.0,868.4306379666477,0.9260314787078968,1.9402985074626864,0.3320233610243882,0.3330933664941117,0.9901519294815608,55.45211283478936,-3.6272324464144643,1.9416034937137747,4.900544521688054,3.6696173999507926,23.856539520496952,1.9282144195812558,G3,Atípica en ICE principal
16,MICHOACAN,53,MARCOS CASTELLANOS,4,940,R,135.00000000000003,695.8839362090305,0.9423774826105574,0.3636363636363637,0.12117331894017278,0.1254347193885451,0.9035212026879944,16.996144638491042,2.4887265308573343,4.59186705755374,0.3146389468094785,2.9241248268532742,1.2384220086610749,0.4884354634401336,G3,Atípica en ICE principal
17,MORELOS,2,ATLATLAHUCAN,5,20,M,499.99999999999983,340.01124045879953,0.9797227168243152,0.14416475972540047,0.042736733893950316,0.051375109301735215,0.9832894014009904,4.499615297128845,0.6288652052764858,-0.03132891211537567,0.011973564630807091,0.36537158597411895,0.3028950944604075,-0.2007922086585981,G3,Tipica
18,NAYARIT,6,HUAJICORI,1,203,R,786.0000000000007,2.2908305572314176,0.9336230483995164,0.2,0.06261388978273927,0.06878280185460463,0.93479482460899,10.578597865888506,3.109902216664567,5.3006816948290405,-5.4398057852288755,0.7633175026736211,-1.2030495970726314,-0.014613376093933497,G3,Atípica en ICE principal
19,NUEVO LEON,18,GARCIA,7,2547,R,1077.9999999999995,1494.7344961558874,0.9573882159808969,1.0263157894736843,0.22059180236256226,0.23590955030135435,0.997564603149436,33.185845245188844,-2.441352584202209,1.9025854752196083,6.139253747822323,0.4732559241954686,11.218178068079071,0.4821862382095081,G3,Atípica en ICE principal
20,OAXACA,64,NEJAPA DE MADERO,5,467,R,247.00000000000006,2.2575220268343505,0.9486215728433012,0.5060975609756098,0.15350496546486322,0.13648666883268784,0.7105975373920039,20.44044404873989,3.152729991928625,3.286485641963755,1.2880089249926676,0.2861238141175866,3.8132083785027024,2.0116319808728127,G3,Atípica en ICE principal
21,PUEBLA,115,PUEBLA,11,1492,U,181.99999999999997,50.68829269194621,0.9800275471649238,0.1973684210526316,0.07097833370013913,0.08024059907808027,0.9542350574047498,8.037314688253725,1.881565298568691,-0.5251969288870824,1.857303233226662,0.3629695376678808,0.6501047480487826,-0.06616184469579166,G3,Atípica en ICE principal
22,QUERETARO,14,QUERETARO,3,754,U,10567.000000000024,6995.461231284598,0.9762691260325459,0.2536481195871396,0.07048765689256296,0.08335002069645372,0.9989113832567684,8.509031215161114,-2.5919321622042477,2.221515875160784,1.305771145158919,-1.3961160590510913,1.5781526152706604,-0.24046257802168405,G3,Atípica en ICE principal
23,QUINTANA ROO,9,TULUM,1,948,U,1089.0,271.6987714193222,0.9658536599229895,0.5316455696202531,0.18777262096926425,0.18118930260502147,0.9552905612743324,23.231307692415104,-0.06872694596923705,2.5986946579476475,6.6662194336658045,-0.8142992825905392,3.794791449296543,1.698775207260719,G3,Atípica en ICE principal
24,SAN LUIS POTOSI,33,SANTA MARIA DEL RIO,2,1199,R,92.99999999999994,2.3174682282581607,0.9525704857731238,0.2916666666666667,0.07653567532557562,0.08941431623291772,0.9842641483661844,12.016903511649456,3.5996705091110264,1.6415228796076369,-2.0457614428990984,1.5839127989480963,0.7461289824223251,-0.3319004628948405,G3,Atípica en ICE principal
25,SINALOA,17,SINALOA,3,3427,R,119.00000000000013,0.37775259427149305,0.9696861328949612,0.9193548387096774,0.321600082145778,0.25325181343935343,0.8790674012440635,37.92705644650829,2.269060425563129,0.1315987273428496,12.413191486531586,-1.7179003947686238,8.615326372637591,6.3955235395367405,G3,Atípica en ICE principal
26,SONORA,8,BACANORA,4,50,R,41.00000000000002,0.39761431411530823,0.9496114972366576,0.5185185185185185,0.13413738405988154,0.14830847555919288,0.9464632768581162,20.521111926631544,4.189047695208372,1.2959738127733889,0.6636010968275636,1.5392265967956298,3.436524567352383,-0.06168963167701974,G3,Atípica en ICE principal
27,TABASCO,8,HUIMANGUILLO,2,715,R,154.00000000000006,0.9875403192192019,0.9627759777167636,0.18461538461538465,0.054514649306553725,0.057163446599033774,0.8967889608359728,7.434811683675159,3.5936278138811044,0.7592363022289687,-2.2995644608460197,0.4853862834643213,0.046959166349373166,0.1802032746573442,G3,Atípica en ICE principal
28,TAMAULIPAS,32,REYNOSA,9,1772,U,1970.0000000000005,4708.0059011818885,0.9752928481582122,0.5235885537509667,0.16637854353488274,0.17040520789829774,0.9833846535622208,20.618613172270642,-1.7166095142890032,1.8086674850340625,6.9330072496338495,-0.7770780666863917,4.449043677335504,0.921880890356636,G3,Atípica en ICE principal
29,TLAXCALA,34,TLAXCO,1,489,R,98.00000000000004,82.05909246232565,0.9769041206428478,0.1264367816091954,0.04875087475295977,0.0557929250922141,0.8669194010014593,5.090147017879027,2.691127400863785,-0.18229236052062514,0.30475864078753273,1.3046234623912452,-0.00890498053722857,-0.10310268036267248,G3,Tipica
30,VERACRUZ,78,ILAMATLAN,2,1698,R,104.99999999999997,23.271276595744695,0.961991453983352,0.3815789473684211,0.08359798879949025,0.07438390475941341,0.9488415326612648,11.700592628189948,2.2479494354556784,0.4407931837322943,-1.314095264643529,1.8375209523278897,3.0428582629626053,1.097196273505188,G3,Atípica en ICE principal
31,YUCATAN,50,MERIDA,3,1110,U,2714.000000000001,656.9980899203947,0.9662440390955681,0.427669647553919,0.1119637985980662,0.12875218145618195,0.9958116382700094,15.59807504730075,-1.153568216447854,2.3339331626020368,2.2051619860848906,-0.6540958537245107,3.2136985852304707,-0.2593078766408088,G3,Atípica en ICE principal
32,ZACATECAS,49,VALPARAISO,2,1542,M,110.99999999999997,530.2747164126649,0.9661494511280436,0.4230769230769231,0.11353319636240013,0.11848093864582275,0.9512124394808992,15.251876015239713,1.392498827277641,0.9020790781245726,2.310708693472664,2.0334909747655483,3.3291014776585035,0.43541076156690894,G3,Atípica en ICE principal
