EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,DTO,SECC,TIPO_SECCION,LNE,Densidad_LNE,Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Var_Prop_LNE,Autocorr_LNE,CP1 (ICE principal),CP2 (segundo ICE),CP3 (tercer ICE),CP4,CP5,CP6,TCE_seccional,Atipicidad
21,PUEBLA,115,PUEBLA,11,1492,U,182.0,50.68829269194625,0.9800275471649238,0.1973684210526316,0.07097833370013913,0.08024059907808027,0.9542350574047498,5.655105875509733,-1.58788034618895,0.9679444595740341,-0.2532159019985813,2.290615699154169,0.014607366018979372,G3,Atípica en ICE principal
22,QUERETARO,14,QUERETARO,3,754,U,10567.0,6995.461231284602,0.9762691260325459,0.2536481195871396,0.07048765689256296,0.08335002069645372,0.9989113832567684,7.582866140964565,1.9216552976832453,-3.882778512842028,4.001092394113864,2.03874246349736,0.8797251315236144,G2,Atípica en ICE principal
23,QUINTANA ROO,9,TULUM,1,948,U,1089.0,271.6987714193221,0.9658536599229895,0.5316455696202531,0.18777262096926425,0.18118930260502147,0.9552905612743324,17.750934228494483,-3.8017735108719535,2.0664187866732107,1.4362603274588246,8.777240396423284,0.6671775447476472,G3,Atípica en ICE principal
24,SAN LUIS POTOSI,33,SANTA MARIA DEL RIO,2,1199,R,93.0,2.3174682282581607,0.9525704857731238,0.2916666666666667,0.07653567532557562,0.08941431623291772,0.9842641483661844,9.542999388484906,-3.850153363712973,2.024627628754311,2.2569462727863336,-0.632384768718615,0.9674407593837404,G3,Atípica en ICE principal
25,SINALOA,17,SINALOA,3,3427,R,119.0,0.37775259427149305,0.9696861328949612,0.9193548387096774,0.321600082145778,0.25325181343935343,0.8790674012440635,29.70401248575325,-5.3305456448149915,3.72924448699452,0.6205252912951461,18.809584407147806,1.9530603111451144,G3,Atípica en ICE principal
26,SONORA,8,BACANORA,4,50,R,41.0,0.3976143141153082,0.9496114972366576,0.5185185185185185,0.13413738405988154,0.14830847555919288,0.9464632768581162,15.89220843506142,-4.618102924426771,2.7925853877512297,2.3276790489516395,3.237072019029956,2.51631551895569,G3,Atípica en ICE principal
27,TABASCO,8,HUIMANGUILLO,2,715,R,154.0,0.987540319219202,0.9627759777167636,0.18461538461538465,0.054514649306553725,0.057163446599033774,0.8967889608359728,5.913729239671188,-3.040962722724846,1.354175687918758,1.5459902418738447,-0.8363704689915936,0.3628596331196144,G3,Atípica en ICE principal
28,TAMAULIPAS,32,REYNOSA,9,1772,U,1970.0,4708.005901181888,0.9752928481582122,0.5235885537509667,0.16637854353488274,0.17040520789829774,0.9833846535622208,15.769634652598928,-2.0139212364163908,1.4538107108075675,0.748489474475337,8.54740868492433,1.5330317499218906,G3,Atípica en ICE principal
29,TLAXCALA,26,SANTA CRUZ TLAXCALA,1,609,U,580.0,762.0805805269182,0.9798165684764998,0.16,0.04417003037816261,0.05278381483847586,0.9593877260366164,3.7450033102107856,-1.0287301148667176,0.6109352606959603,-0.16869667194720542,0.4505152043180652,0.4949704813991471,G3,Tipica
30,VERACRUZ,78,ILAMATLAN,2,1698,R,105.0,23.27127659574468,0.961991453983352,0.3815789473684211,0.08359798879949025,0.07438390475941341,0.9488415326612648,10.285202599667436,-2.904232814769256,1.916330305779598,1.0831288959437215,1.2185604128496148,2.45446447339696,G3,Atípica en ICE principal
31,YUCATAN,50,MERIDA,3,1110,U,2714.0,656.9980899203949,0.9662440390955681,0.427669647553919,0.1119637985980662,0.12875218145618195,0.9958116382700094,12.39594403376115,-1.9613263651569897,0.6998677865064277,1.6358935138162949,3.636917849822803,2.01077809216478,G3,Atípica en ICE principal
32,ZACATECAS,49,VALPARAISO,2,1542,M,111.0,530.2747164126646,0.9661494511280436,0.4230769230769231,0.11353319636240013,0.11848093864582275,0.9512124394808992,12.128582182410085,-2.9574210542024124,2.034713059628883,0.7853852740287306,3.765468363959113,1.9574709245570288,G3,Atípica en ICE principal
