EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,DTO,SECC,TIPO_SECCION,LNE,Densidad_LNE,Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Var_Prop_LNE,Autocorr_LNE,CP1 (ICE principal),CP2 (segundo ICE),CP3 (tercer ICE),CP4,CP5,CP6,TCE_seccional,Atipicidad
1,AGUASCALIENTES,1,AGUASCALIENTES,2,594,U,8.327000740241713,3320.551261888041,0.9805975340181,0.2607502287282708,0.0930190638774173,0.10224169366668176,0.9769247470295572,7.6825270751120405,-1.3723360779326996,1.328668653187562,-0.4682207935230948,4.234116558160346,0.22469785927311325,G0,Atípica en ICE principal
2,BAJA CALIFORNIA,4,TIJUANA,8,1869,R,7.438971592395863,13346.931772250236,0.9767127778472252,0.2789473684210526,0.09933685289408986,0.10785484438291333,0.96822308899179,8.497828499378024,-0.888504305930681,1.6913829521011343,0.8479832969328521,4.293239912860212,0.2973628346740003,G0,Atípica en ICE principal
3,BAJA CALIFORNIA SUR,2,MULEGE,1,105,R,5.0369526024136295,20.878524945770067,0.9537561754263932,0.26229508196721313,0.06623643488384963,0.07233352282535818,0.9550773806643192,9.066557233675304,3.266728548068897,2.5995538332994914,1.3064058027936092,-1.2712422100952634,0.965288472546567,G0,Atípica en ICE principal
4,CAMPECHE,10,CANDELARIA,2,295,R,7.384610383176974,1822.5241194521939,0.9706684331655162,0.21860816944024208,0.08586376912560538,0.09890430846738868,0.9520985299253129,7.640607557228577,0.057126056804957415,2.3580866664427127,0.319525162428187,2.490573477520861,-0.3059284931484328,G0,Atípica en ICE principal
5,COAHUILA,32,SAN JUAN DE SABINAS,3,1711,M,5.44673737166631,1879.7282914332043,0.9199219901619012,0.6111111111111112,0.1357391861822357,0.15379062798042295,0.9935366833439966,20.12054224870897,2.371880146891751,7.445715007364229,3.6896552980238533,0.3462465254929,3.723210017939517,G0,Atípica en ICE principal
6,COLIMA,8,MANZANILLO,2,224,R,5.913503005638269,736.3222690729937,0.9749486470576804,0.14906832298136646,0.05216299727751537,0.05483945706422418,0.8989415731981629,4.508957063007118,1.2929698258484346,0.9838964173890868,0.9862225052667032,0.5197505691746398,0.06223887814035167,G0,Tipica
7,CHIAPAS,81,SILTEPEC,13,1192,R,6.996681488176539,28.9138140839109,0.9495932812821332,0.36625,0.08934701773464397,0.08193873915846091,0.9339430781616777,11.967391639426324,1.7210910326820583,3.997390301619911,-0.017823569709373342,0.18922988537176613,1.7759907073378385,G0,Atípica en ICE principal
8,CHIHUAHUA,66,URUACHI,7,2696,R,3.258096538021482,0.0711661949625283,0.8931924556924558,1.0,0.1852646826010492,0.20051413975210755,0.9476169611745904,31.21791597031495,6.635445346926299,7.753660454953126,3.5129896776320746,0.2012501349512644,7.991212802414576,G0,Atípica en ICE principal
9,CIUDAD DE MEXICO,15,CUAUHTEMOC,8,4830,U,6.82001636467413,22233.570944509276,0.9744396847084876,0.17435897435897435,0.05195039620890362,0.06195887283091399,0.9851860559268732,4.678969616209708,-0.5124925463081578,1.6649178682460446,1.3296298886370554,0.6721592525633098,0.39161063268699625,G0,Tipica
10,DURANGO,20,OTAEZ,1,956,R,5.049856007249537,1.1906488272872289,0.9364377474723397,0.17293233082706766,0.07951318548936816,0.08439284855429158,0.4452703868161486,9.600761228732637,6.286637321875102,6.290804839821157,0.5667266746755167,-1.6796678235393565,-0.4140362322539408,G0,Atípica en ICE principal
11,GUANAJUATO,20,LEON,6,1508,R,8.584477938221834,6138.237838009978,0.9780399436641236,0.28991799324650264,0.08038978648354418,0.09444314230419257,0.9976923386368038,7.553500621444079,-1.899292288202869,1.5830127925037836,-0.4613292268422949,3.1668090877748902,1.1919809287891423,G0,Atípica en ICE principal
12,GUERRERO,28,CHILAPA DE ALVAREZ,6,1193,R,5.598421958998375,24.2914979757085,0.9164263775812606,0.2,0.12101146248437455,0.11644695512763815,0.7345010131607349,14.20133739850985,5.6093046749542745,9.49883357654899,1.8331655266847275,-1.3964369639260137,-2.5092655969651623,G0,Atípica en ICE principal
13,HIDALGO,68,TIZAYUCA,6,1768,R,7.675546002537848,1431.8201501858273,0.97395576244054,0.2565597667638484,0.0691653077249003,0.08157056100080624,0.9978756352777548,7.003338335681412,-0.6520941144186345,1.5416564327509144,-0.10297196627224604,1.705745495961838,0.9968343882957521,G0,Atípica en ICE principal
14,JALISCO,78,SAN MARTIN DE BOLAÐOS,1,2114,R,4.465908118654584,1.882872354239709,0.9641166396939992,0.4262295081967213,0.12414479151007875,0.13219513934586638,0.9657508670324876,13.787407875126824,3.7193841104587824,0.4812607978260158,1.167169147534864,3.7289760321850576,1.51652065420364,G0,Atípica en ICE principal
15,MEXICO,68,OTZOLOTEPEC,18,6517,R,5.2832037287379885,868.4306379666477,0.9260314787078968,1.9402985074626864,0.3320233610243882,0.3330933664941117,0.9901519294815608,48.005421033173505,-1.1843036371180806,3.0906709959559286,5.169958091742756,15.849746346178668,18.99002346566982,G0,Atípica en ICE principal
16,MICHOACAN,53,MARCOS CASTELLANOS,4,940,R,4.90527477843843,695.8839362090305,0.9423774826105574,0.3636363636363637,0.12117331894017278,0.1254347193885451,0.9035212026879944,14.062955057455746,3.1752481232074405,4.97062022283255,3.041131669234035,1.6388200538753086,0.4883916291089601,G0,Atípica en ICE principal
