EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,DTO,SECC,TIPO_SECCION,LNE,Densidad_LNE,Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Var_Prop_LNE,Autocorr_LNE,CP1 (ICE principal),CP2 (segundo ICE),CP3 (tercer ICE),CP4,CP5,CP6,TCE_seccional,Atipicidad
15,MEXICO,68,OTZOLOTEPEC,18,6517,R,5.2832037287379885,868.4306379666477,0.9260314787078968,1.9402985074626864,0.3320233610243882,0.3330933664941117,0.9901519294815608,48.005421033173505,-1.1843036371180806,3.0906709959559286,5.169958091742756,15.849746346178668,18.99002346566982,G0,Atípica en ICE principal
8,CHIHUAHUA,66,URUACHI,7,2696,R,3.258096538021482,0.0711661949625283,0.8931924556924558,1.0,0.1852646826010492,0.20051413975210755,0.9476169611745904,31.21791597031495,6.635445346926299,7.753660454953126,3.5129896776320746,0.2012501349512644,7.991212802414576,G0,Atípica en ICE principal
25,SINALOA,17,SINALOA,3,3427,R,4.7791234931115305,0.37775259427149305,0.9696861328949612,0.9193548387096774,0.321600082145778,0.25325181343935343,0.8790674012440635,30.77896716807688,3.684272487465378,-0.014807505301739719,1.386619364283023,18.318521234923345,2.1721070760583583,G0,Atípica en ICE principal
8,CHIHUAHUA,66,URUACHI,7,2687,R,5.700443573390688,1.5952281869884863,0.9013366096046316,0.7085714285714285,0.24006934115202802,0.23188896743723056,0.8941850524172262,29.324342611257816,5.526868765671601,10.13361269399097,2.1859403741356465,5.0126452761279845,0.8387040131257069,G0,Atípica en ICE principal
8,CHIHUAHUA,9,BOCOYNA,7,147,R,6.546785410760523,4.13037037037037,0.8888976030159236,0.7167487684729064,0.195246912640648,0.20889910667520767,0.9694463020199086,28.028934642538534,4.545293164150623,11.691427700590475,1.9049219970012319,0.6119338876455716,2.513277829382499,G0,Atípica en ICE principal
19,NUEVO LEON,18,GARCIA,7,2547,R,6.982862751468942,1494.7344961558874,0.9573882159808969,1.0263157894736843,0.22059180236256226,0.23590955030135435,0.997564603149436,26.99655495251441,-1.1952680787992918,2.0690172977204617,2.0522635680578096,10.927639764610342,7.989756604107393,G0,Atípica en ICE principal
8,CHIHUAHUA,66,URUACHI,7,2695,R,5.7899601708972535,2.3151917644310083,0.908692339531898,0.5352112676056338,0.19439920852649167,0.19291481435595245,0.9061632001992576,23.84419362994433,5.317383171990887,9.373625976953614,1.7471178298665464,2.5708891291591534,-0.2144544616725772,G0,Atípica en ICE principal
5,COAHUILA,32,SAN JUAN DE SABINAS,3,1711,M,5.44673737166631,1879.7282914332043,0.9199219901619012,0.6111111111111112,0.1357391861822357,0.15379062798042295,0.9935366833439966,20.12054224870897,2.371880146891751,7.445715007364229,3.6896552980238533,0.3462465254929,3.723210017939517,G0,Atípica en ICE principal
19,NUEVO LEON,21,GRAL. ESCOBEDO,2,2737,U,3.258096538021482,3448.1185473766172,0.9813480392156864,0.7333333333333333,0.17724578947751554,0.19353577126746466,0.9742785792574934,18.62940334610544,1.249950658549676,-2.079887033680476,4.542532631744684,10.129157464416043,5.154837529111608,G0,Atípica en ICE principal
23,QUINTANA ROO,9,TULUM,1,948,U,6.9930151229329605,271.6987714193222,0.9658536599229895,0.5316455696202531,0.18777262096926425,0.18118930260502147,0.9552905612743324,18.037201116467767,0.6969812683639918,2.420712281760665,0.8221835902037835,8.992141307062866,0.8324916220843896,G0,Atípica en ICE principal
