EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,NUM_SECC_RUR,LNE,Densidad_LNE,Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Var_Prop_LNE,Autocorr_LNE,CP1 (ICE principal),CP2 (segundo ICE),CP3 (tercer ICE),TCE_municipal,Atipicidad
1,AGUASCALIENTES,1,AGUASCALIENTES,9,648368.0,5716.6941879422375,0.9907184444392284,0.00047063325633464647,0.01136687567648378,0.01241970558366465,0.4194348622072133,-2.936634145689189,2.3803516400711424,3.5465852482561293,G4,Atipica en CP1
2,BAJA CALIFORNIA,2,MEXICALI,41,789602.0,2958.306469039284,0.9893057386834749,0.003524272745412281,0.013681319681545642,0.015151891104261381,0.3733216891807398,-2.7870077924809458,3.9288348117290672,3.888381234943154,G4,Atipica en CP1
2,BAJA CALIFORNIA,4,TIJUANA,26,1435734.0,6592.51538975258,0.9889809900644216,0.005466662184647965,0.01409836620128881,0.013748992510608037,0.3668337049362833,-2.9371702391116754,6.499128465210443,6.993071121138946,G4,Atipica en CP1
2,BAJA CALIFORNIA,3,TECATE,3,85233.0,1700.5465487694435,0.9882333661288336,-0.012604117190486671,0.01767090638031471,0.020106376169751076,0.4577988073815484,-1.9005606056107527,-1.0811238751377716,1.0906785732548614,G2,Tipica
2,BAJA CALIFORNIA,1,ENSENADA,37,399621.0,3014.5291092488665,0.9885625739612708,0.0003279180955718541,0.013202716447074206,0.013986895231114222,0.3606688164903901,-2.751399297333408,1.9331457279230502,2.4571975493366502,G4,Atipica en CP1
2,BAJA CALIFORNIA,5,PLAYAS DE ROSARITO,2,97429.0,2955.1303051636864,0.9873434077973392,0.008070440459808172,0.01611011517544305,0.015825238661997455,0.3794590059922927,-2.030685107793702,-0.9887995914682699,1.3541618775498583,G2,Tipica
3,BAJA CALIFORNIA SUR,1,COMONDU,24,53927.0,1605.5208596450077,0.9867651992479328,0.06710068070286529,0.020502608468514368,0.02426130145944955,0.9956254036191616,0.2961062564520011,1.1222157674213704,-0.5353959990608878,G1,Tipica
3,BAJA CALIFORNIA SUR,3,LA PAZ,28,206629.0,2206.5346562041286,0.9897259074676352,0.05924479166666665,0.018853517524496453,0.02274664077228311,0.9961425721344276,-0.2130466197175189,2.205539484329575,-0.04433163351800425,G1,Atipica en CP2
3,BAJA CALIFORNIA SUR,5,LORETO,4,11866.0,2950.1274622633728,0.9859787741263006,0.04971691436659589,0.01817968550913617,0.021144518668083076,0.9758070696415588,-0.13275857842985067,0.05860802677400942,-0.3380269803339525,G1,Tipica
3,BAJA CALIFORNIA SUR,4,LOS CABOS,11,221022.0,2548.4204338553595,0.9888475879426964,0.08032729192327996,0.025148072835998302,0.030522638755431195,0.9968238430132124,1.014278841887833,1.4779777613374303,0.1803838984803927,G0,Atipica en CP2
3,BAJA CALIFORNIA SUR,2,MULEGE,17,40805.0,1116.9216141413942,0.9824513257214064,0.07835623678646934,0.024388869595059304,0.028702424612749387,0.9934230611564168,1.1912844403035827,0.42316862699788105,-0.3223985615110861,G0,Tipica
4,CAMPECHE,8,TENABO,4,8120.0,1086.5744099807048,0.9898812373365328,0.06561679790026248,0.020030524095262715,0.023773107148263483,0.9919811722131284,0.13906715929841706,0.18910151322201685,-0.9856731120166867,G1,Tipica
4,CAMPECHE,9,ESCARCEGA,15,40540.0,1995.1161555565207,0.9836395518980964,0.06295393167099295,0.018420989531087083,0.021808906779042285,0.9816308130030696,0.15777602160424506,0.5188964299387856,-0.3092860906213122,G1,Tipica
4,CAMPECHE,5,HECELCHAKAN,7,22198.0,1305.1297940173936,0.989158624118374,0.06205444715563849,0.018945445707643,0.022076330513612127,0.9937548213583048,-0.04667979969847943,0.3720294104291321,-0.8660461065472803,G1,Tipica
4,CAMPECHE,6,HOPELCHEN,22,27491.0,1502.860193461301,0.9871576607318476,0.05204546324289158,0.018095290841425228,0.021563039290900768,0.9703251320258768,-0.24440810187580755,0.84763811326668,-0.5941191140509008,G1,Tipica
4,CAMPECHE,11,CALAKMUL,17,19096.0,1881.564138151188,0.990263678178098,0.016718134383984666,0.007473904106961406,0.008862091273374409,0.8546639680162276,-2.398395585619066,0.6313248758790692,-0.6020159254832265,G1,Tipica
4,CAMPECHE,7,PALIZADA,9,7006.0,1604.3381236914092,0.9834885279006276,0.03593079994085465,0.014985939689049682,0.017259263174172732,0.9116931537412792,-0.726350989138538,-0.15224117104973206,-0.26302641272144406,G1,Tipica
4,CAMPECHE,10,CANDELARIA,25,31875.0,1495.163987561645,0.985369332844772,0.05302279484638256,0.01630153497982113,0.01925137983781528,0.9864284059950724,-0.3755809109490247,0.9762794670528633,-0.5518049629900703,G1,Tipica
4,CAMPECHE,4,CHAMPOTON,25,64575.0,2216.8114692964814,0.9880843233232552,0.05635530835923443,0.016978594941257343,0.01977138055827505,0.993329040943942,-0.3963010373880418,1.370894757263424,-0.5189543988808063,G1,Tipica
4,CAMPECHE,2,CALKINI,11,40964.0,1360.6802043158134,0.987697201690319,0.054332998738836125,0.0172544546883597,0.02041240102020646,0.9931556726170891,-0.2943221333926961,0.53847699095267,-0.6803303651711364,G1,Tipica
4,CAMPECHE,1,CAMPECHE,22,205770.0,3469.4513739570257,0.9900814882630068,0.046866573733961484,0.0145387739678878,0.017117122069100394,0.9899919106672106,-0.9588410722536553,2.104544136330712,0.09283804261619939,G1,Tipica
4,CAMPECHE,3,CARMEN,24,177598.0,4175.85896957856,0.9879898673798556,0.040007964114636405,0.012264544627584063,0.0141813519066785,0.9858742195117004,-1.2462669558583954,2.011664183427377,0.2190323173322809,G1,Tipica
5,COAHUILA,13,HIDALGO,0,1137.0,578.2655699725018,0.9760377508573762,0.05375347544022243,0.013511107325479551,0.01576492876615291,0.6174260398059458,-0.673983778397383,-1.5852024356739125,0.5435492114277529,G2,Tipica
5,COAHUILA,2,ACUÐA,1,115403.0,3619.129588233564,0.9875804691737898,0.08300643780851742,0.025486319644428664,0.0310049503986116,0.993784032027758,1.2467852084254019,0.5900764920581543,0.026684464946382994,G0,Tipica
5,COAHUILA,14,JIMENEZ,6,8099.0,789.528864418314,0.9863611965494432,0.08188618755009351,0.02334215886191874,0.027638027836260026,0.9840256438076904,0.9416640425623735,0.03390134405952912,-0.7887651392332313,G0,Tipica
5,COAHUILA,31,SAN BUENAVENTURA,3,18039.0,1732.938097715618,0.9809972325555636,0.06330680813439434,0.017953494709880457,0.02156204158098617,0.9755285407722945,0.2997981398126047,-0.2842346870042565,-0.24668423516693208,G0,Tipica
5,COAHUILA,24,PARRAS,16,33455.0,1156.0635405345722,0.9859198692488644,0.03339099277197751,0.010442115898202823,0.012795568475827673,0.971457892484454,-1.3886187363319218,0.5938280581987776,-0.6287372866537311,G1,Tipica
5,COAHUILA,38,ZARAGOZA,5,10699.0,1143.1506388197802,0.9838039450073952,0.06883116883116883,0.020677155521702212,0.025182111396411928,0.9795382497235972,0.5984744512217735,-0.14649115090270698,-0.5222101586979995,G0,Tipica
5,COAHUILA,30,SALTILLO,37,589670.0,2931.507888391395,0.9881141135881888,0.07345640693294789,0.02332928706339225,0.028273547855631218,0.9947371000760392,0.49146858662388854,4.251176238535232,1.7034482609539647,G4,Tipica
5,COAHUILA,23,OCAMPO,10,7074.0,899.287691838926,0.9668959732771496,0.030444282592862342,0.009019973921072278,0.010881659354342864,0.8671276774572205,-0.7470035209241651,-1.1503774884104008,0.7299118563000002,G2,Tipica
5,COAHUILA,34,SIERRA MOJADA,3,3555.0,1917.857642505878,0.9466425846446804,0.04069086651053864,0.013789533964123992,0.016309525051472616,0.7473977348551569,0.9302369480302869,-2.9075339880666577,2.5800436662173976,G2,Atipica en CP1
5,COAHUILA,36,VIESCA,18,14852.0,1649.8226612042138,0.9878484432786944,0.04195313596183528,0.013410783489017808,0.015845544348646292,0.9791637083294517,-1.0015273376844596,0.7524585276922389,-0.752031673199368,G1,Tipica
5,COAHUILA,17,MATAMOROS,29,81173.0,2953.1692470268517,0.9869106324878264,0.05699515599770821,0.01649704368796667,0.019718262541372454,0.9804740326009128,-0.39204371207717836,1.597012719452228,-0.24889121950450846,G1,Tipica
5,COAHUILA,25,PIEDRAS NEGRAS,3,129550.0,2571.9425177060457,0.9885190820736258,0.07319780638534057,0.02279374430631469,0.02761718661031566,0.9922170320966162,0.6807903555177565,0.7122060149343284,-0.1556695176120678,G0,Tipica
5,COAHUILA,9,FRANCISCO I. MADERO,24,42302.0,1985.677986991308,0.9871309249487538,0.06139756617739305,0.017768366239752482,0.020853866516309445,0.9795265576651851,-0.1797266964398783,1.1291001773276526,-0.5549777309176582,G1,Tipica
5,COAHUILA,27,RAMOS ARIZPE,24,69431.0,1917.1991322442545,0.9832548093136247,0.1190065595435718,0.033783551310369926,0.040541962638990715,0.9937554269020554,2.917175536669877,0.9708926957064796,-0.14001102034129798,G0,Tipica
5,COAHUILA,35,TORREON,7,504652.0,4421.559822101055,0.9891292333516378,0.05381063850669161,0.01669095666677614,0.02006744091892711,0.9902292931079668,-0.5500897351469305,2.8131182569134556,1.5013034965389982,G4,Tipica
5,COAHUILA,1,ABASOLO,0,1124.0,446.6606820255004,0.9698176602764828,0.07869481765834932,0.02694285377734263,0.03262589326985897,0.957829216885682,2.2670942721607954,-1.4559547200204372,0.45057728208557685,G0,Atipica en CP2
5,COAHUILA,5,CANDELA,1,1570.0,499.63759010170327,0.9832156444851567,0.05087014725568943,0.013916980835536278,0.01532559368620954,0.9454385837942046,-0.6310643260985854,-0.44139168218988006,-0.6351787582149045,G1,Tipica
5,COAHUILA,11,GENERAL CEPEDA,15,9058.0,2395.4947567796607,0.9811563477989198,0.1505144163597104,0.04116508829665344,0.045413285695659916,0.9932089638199421,4.2399491749046785,0.2638737721689406,-0.18967729703250044,G3,Tipica
5,COAHUILA,12,GUERRERO,3,1728.0,221.444152845867,0.984693374128674,0.034111310592459615,0.009015404674328306,0.010133269710859214,0.7767826235591547,-1.7794467209827802,-0.6274537237691106,-0.44348367865774074,G2,Tipica
5,COAHUILA,16,LAMADRID,0,1573.0,689.6258010699663,0.977834677260633,0.07225630538513975,0.020308356859768967,0.02448204867742164,0.9557443676585834,0.8757033735907737,-0.8203112570104467,-0.20119606335311369,G0,Tipica
5,COAHUILA,26,PROGRESO,2,2777.0,681.2690310737486,0.9796113520584352,0.055893536121673006,0.017283853867164196,0.02074398929015133,0.9364124577441328,0.1313572472516694,-0.6826327045204135,-0.2602199469262965,G0,Tipica
5,COAHUILA,33,SAN PEDRO,41,72586.0,2353.157998701359,0.9884569131327796,0.05002314546927439,0.015382078573529587,0.01833761417195994,0.9865124655944444,-0.7536783774283033,2.1159192520731054,-0.48920734423259915,G1,Tipica
5,COAHUILA,6,CASTAÐOS,12,20980.0,1274.8841950267013,0.9800018309681848,0.06953507340946166,0.023576925831933642,0.02843746730544656,0.9696341902986909,1.134360303019665,-0.10444630176807311,-0.11177330319789404,G0,Tipica
5,COAHUILA,18,MONCLOVA,2,170909.0,2661.1358778934546,0.988678755883348,0.05693807126689838,0.01842660186128853,0.02225198653472232,0.9893965590490575,-0.1345036094628593,0.8828524807289022,-0.004443730638242069,G1,Tipica
