EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,NUM_SECC_RUR,LNE,Densidad_LNE,Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Var_Prop_LNE,Autocorr_LNE,CP1 (ICE principal),CP2 (segundo ICE),CP3 (tercer ICE),CP4,CP5,CP6,CP7,TCE_municipal,Atipicidad
1,AGUASCALIENTES,10,SAN FRANCISCO DE LOS ROMO,3,34917.0,3566.0245471072844,0.9892716837413312,0.03749814292081415,0.0150845428418134,0.017733047222859545,0.7559389344840048,-1.0618988602751382,0.7880432377129402,-0.8375855423460026,-0.6144612953994144,-0.08812757630759238,-0.7827472183270906,-0.23857832142987995,G1,Tipica
2,BAJA CALIFORNIA,5,PLAYAS DE ROSARITO,2,97429.0,2955.1303051636864,0.9873434077973392,0.008070440459808172,0.01611011517544305,0.015825238661997455,0.3794590059922927,-2.1674486675859352,0.21472835784086874,-1.6761191845284815,0.5305329494332703,0.6023257541341829,-0.3515700906826032,-0.4693650226500633,G0,Tipica
3,BAJA CALIFORNIA SUR,2,MULEGE,17,40805.0,5.033360150135659,0.9824513257214064,0.07835623678646934,0.024388869595059304,0.028702424612749387,0.9934230611564168,1.1754217321159561,-0.05669005096482092,0.7630838122802273,0.6504210440807446,-0.1970691534393404,0.10408850666669203,0.012748881899119286,G1,Tipica
4,CAMPECHE,9,ESCARCEGA,15,40540.0,1995.1161555565207,0.9836395518980964,0.06295393167099295,0.018420989531087083,0.021808906779042285,0.9816308130030696,0.3904227371253457,0.6035001016293815,0.25689676839647585,0.263294323776112,-0.7019573817783851,-0.46855984555428004,-0.021996419092252497,G1,Tipica
5,COAHUILA,11,GENERAL CEPEDA,15,9058.0,3.8350687329570095,0.9811563477989198,0.1505144163597104,0.04116508829665344,0.045413285695659916,0.993208963819942,3.5586198696211144,-0.253778330925786,0.4037883599770172,0.6622021542318614,1.005317640817011,-0.2163834213499618,-0.6750756641225132,G4,Tipica
6,COLIMA,2,COMALA,6,16735.0,197.4919628117636,0.9879990384194118,0.09236292428198434,0.02758756222966049,0.03211175419959921,0.9938539150404928,1.3191986797423898,-0.031351512546080554,0.4587061384623099,-0.5428457923777299,0.6243798928774055,0.16360214923565788,-0.1278668684545781,G1,Tipica
7,CHIAPAS,67,PANTEPEC,4,7905.0,334.8044740607233,0.9643008420744986,0.09624185272500346,0.03711873827902826,0.04441466866660288,0.9213777559392248,3.250912290817768,-1.4818588666914998,-1.6211226028623915,1.8395238886257133,-1.0079528807486209,0.2230550261631931,0.21791148857435155,G4,Tipica
8,CHIHUAHUA,66,URUACHI,10,4527.0,2.4906621740087656,0.9460173382604119,0.2395947426067908,0.07294092835183792,0.0849491988094082,0.9674713377739214,9.12348662967864,-2.21532006369558,-2.8080096338481257,4.05767694668194,-0.08887875599827204,-0.12357109517560284,-0.8287730472185543,G4,Atípica en ICE principal
9,CIUDAD DE MEXICO,9,MILPA ALTA,0,107273.0,2559.563059015217,0.9891024226863724,0.060114635833580385,0.01899542209153661,0.022838008281828942,0.9876001605322712,0.0478302328231774,1.1915850888807265,-0.4872468388290104,-0.8796614158696303,-0.04011498303830124,0.15490817351702435,0.1066482316331352,G1,Atípica en segundo ICE
10,DURANGO,2,CANELAS,13,3052.0,3.30728524137359,0.9738726558470044,-0.039345294302801384,0.03591160663048472,0.042358513468408916,0.6632954509626512,-0.15619294441252798,-1.7833693778241244,-1.1456484804512452,2.414186278612246,0.2784237649052949,-0.4132288367583499,2.175651994124355,G0,Tipica
11,GUANAJUATO,38,TARANDACUAO,5,10228.0,1665.7095261631234,0.98513241306707,0.09636617000750347,0.027084807723002882,0.030874123474250274,0.9904844860722436,1.48154929000029,0.25730187669599497,-0.17417392371302426,-0.454729155447969,0.15679563696527685,-0.31592007936328004,-0.25138511784121537,G4,Tipica
12,GUERRERO,66,TLALIXTAQUILLA DE MALDONADO,6,5323.0,1267.135966425097,0.9783971740178392,0.07796678817334954,0.02349713051348117,0.0271761730270204,0.9249830405265632,1.2128979936285609,-0.35541965619548643,-0.5278778511338886,0.3337982305959997,-0.6967411982533599,-0.13206148205231033,-0.15250539115287914,G4,Tipica
13,HIDALGO,12,ATOTONILCO DE TULA,9,34627.0,863.7856618990967,0.9875392024459224,0.097736495054527,0.030188149555773792,0.036311046478671234,0.9942464535499466,1.5740442296477648,0.320367151507766,0.3386363996102293,-0.27458066469366704,0.7379421877796025,-0.11352403109182488,-0.13670569159691984,G4,Tipica
14,JALISCO,63,MEZQUITIC,6,13993.0,13.184356303186322,0.9731963731804464,0.19782571477486727,0.05985667187392672,0.07113305524112055,0.9900740450572226,6.035037720839994,-0.8112464129705924,-0.9777169944156544,1.1686034188268062,1.6926968253785877,-0.07720408170766224,-0.6944761002497047,G4,Atípica en ICE principal
15,MEXICO,113,VILLA DEL CARBON,13,33869.0,349.5717075337738,0.9861708347250716,0.12889140723951736,0.03517743848278486,0.04113684947162338,0.98914999555728,2.488996095000913,0.2063570964946119,0.5750953871625977,0.1000893107756234,1.0572192835948968,-0.10673279219118942,-0.5477721536902026,G4,Tipica
16,MICHOACAN,57,NAHUATZEN,1,20601.0,2450.712917384024,0.9854848803277132,0.12028930338789495,0.03723265286814032,0.044836939949728316,0.9941412620653056,2.509190051365227,0.5160520652733207,-0.7830452955717561,-0.5838759321025354,0.9482166915429248,-0.5675795516224662,-0.2650944974128889,G4,Tipica
