EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,NUM_SECC_RUR,LNE,Densidad_LNE,Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Var_Prop_LNE,Autocorr_LNE,CP1 (ICE principal),CP2 (segundo ICE),CP3 (tercer ICE),CP4,CP5,CP6,CP7,CP8,TCE_municipal,Atipicidad
1,AGUASCALIENTES,10,SAN FRANCISCO DE LOS ROMO,3,34916.0,3566.0245471072835,0.9892716837413312,0.03749814292081415,0.0150845428418134,0.017733047222859545,0.7559389344840048,-1.2140696678309726,0.5130315626295975,-1.450944858170577,0.4315185068938363,0.18264291815953912,-0.2593139974490156,-0.1872430078068097,0.010093904602427105,G1,Tipica
2,BAJA CALIFORNIA,3,TECATE,3,85232.0,1700.546548769444,0.9882333661288336,-0.012604117190486671,0.01767090638031471,0.02010637616975108,0.4577988073815484,-1.912003855538883,-0.14348819786895814,-1.1240097379293954,1.9626053258012617,-0.4416688400970351,-0.9890445519114222,0.13089217747859352,0.012296385794394672,G2,Tipica
3,BAJA CALIFORNIA SUR,2,MULEGE,17,40805.0,5.033360150135659,0.9824513257214064,0.07835623678646934,0.024388869595059304,0.028702424612749387,0.9934230611564168,1.254584993539092,0.8397686728897722,2.082101665722321,-0.04499011281693403,-0.05289531787468168,-0.9580589580896586,-0.02788025435259531,-0.004623211262733326,G3,Tipica
4,CAMPECHE,9,ESCARCEGA,15,40540.0,1995.1161555565195,0.9836395518980964,0.06295393167099295,0.018420989531087083,0.021808906779042285,0.9816308130030696,0.13229523614215005,1.2117799744196964,-0.5184339020536037,0.46300792317284,0.9831559553923545,0.20834946933197804,0.08936580221529172,-0.0012566855017702408,G1,Tipica
5,COAHUILA,11,GENERAL CEPEDA,15,9057.0,3.835068732957009,0.9811563477989198,0.1505144163597104,0.04116508829665344,0.045413285695659916,0.993208963819942,4.296072547423641,0.1597852886509933,2.0164141706737437,-0.15548004133688118,-0.9943709884762816,-0.3487495974699141,-0.9149948922837441,0.15242422849981058,G0,Tipica
6,COLIMA,2,COMALA,6,16735.0,197.4919628117636,0.9879990384194118,0.09236292428198434,0.02758756222966049,0.03211175419959921,0.9938539150404928,1.5411858884531535,0.6170133930283019,-0.18768775391621345,-0.3651450418582921,-0.5989470921294402,-0.24230074830323275,-0.2327943729865421,0.0113161020828636,G1,Tipica
7,CHIAPAS,67,PANTEPEC,4,7905.0,334.80447406072295,0.9643008420744986,0.09624185272500346,0.03711873827902826,0.04441466866660288,0.9213777559392248,4.0563606821323885,-1.5429373852618018,0.37934211577096094,1.4532238976769132,1.7770981740686298,-0.3138925223066515,0.2984429423745884,-0.15085712928923498,G0,Tipica
8,CHIHUAHUA,66,URUACHI,10,4526.0,2.4906621740087656,0.9460173382604119,0.2395947426067908,0.07294092835183792,0.0849491988094082,0.9674713377739214,11.573336067074099,-2.756926497887866,2.9775442284839246,2.5157182660708624,1.339570065252375,-0.8130200455102,-0.9988078023777816,-0.1633955632246025,G0,Atípica en ICE principal
9,CIUDAD DE MEXICO,9,MILPA ALTA,0,107273.0,2559.563059015216,0.9891024226863724,0.060114635833580385,0.01899542209153661,0.022838008281828942,0.9876001605322712,-0.04204214280583395,1.29500825495523,-1.5842312479634613,-0.01290388544194473,0.2307240501890005,-0.8587156545586985,0.10852939504866656,0.00131819406071805,G1,Tipica
10,DURANGO,2,CANELAS,13,3052.0,3.307285241373589,0.9738726558470044,-0.039345294302801384,0.03591160663048472,0.042358513468408916,0.6632954509626512,1.2955577516019816,-2.4415153619230847,2.554530109009173,2.142548307757461,-0.8914058454837748,-0.5569180433014186,2.149831865560329,-0.17391903025646044,G0,Tipica
11,GUANAJUATO,38,TARANDACUAO,5,10227.0,1665.7095261631237,0.98513241306707,0.09636617000750347,0.027084807723002882,0.030874123474250274,0.9904844860722436,1.615003032227823,0.3616801647564661,-0.9874578314261648,-0.14290646831038686,0.1202795854729188,0.3319018116561967,-0.271469516886297,0.05140278193398192,G1,Tipica
12,GUERRERO,66,TLALIXTAQUILLA DE MALDONADO,6,5323.0,1267.1359664250967,0.9783971740178392,0.07796678817334954,0.02349713051348117,0.0271761730270204,0.9249830405265632,1.2057404773853218,-0.4649371147959592,-0.4581661159488183,0.18910707428431,1.100483608507288,0.4352437268937807,-0.06502834877647916,0.0015369793128501199,G1,Tipica
13,HIDALGO,12,ATOTONILCO DE TULA,9,34626.0,863.7856618990961,0.9875392024459224,0.097736495054527,0.030188149555773792,0.036311046478671234,0.9942464535499466,2.0063413252739744,1.0756644430852171,-0.7487237664616923,0.2694907519487693,-0.5240542143805405,-0.07352113502697065,-0.22206802211036603,-0.08187732452469397,G1,Tipica
14,JALISCO,63,MEZQUITIC,6,13992.0,13.18435630318632,0.9731963731804464,0.19782571477486727,0.05985667187392672,0.07113305524112055,0.9900740450572226,7.997884755321723,-0.6019643677581757,1.102500980138291,1.015213397005239,-1.2213091273787786,-0.7732521543782999,-0.998032424001485,-0.1922135755400506,G0,Atípica en ICE principal
15,MEXICO,46,JILOTEPEC,28,66142.0,151.16956365807502,0.9892403592131828,0.12285675482972873,0.03746242549048867,0.043778072894982506,0.9970012211694168,3.0828055329158697,2.1675627374489363,0.6375379487744778,0.912866670013336,-1.3672330728657611,0.3612065996604489,-0.5783027224770076,-0.032595976019532125,G0,Tipica
