EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,NUM_SECC_RUR,LNE,Densidad_LNE,Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Var_Prop_LNE,Autocorr_LNE,CP1 (ICE principal),CP2 (segundo ICE),CP3 (tercer ICE),CP4,CP5,CP6,CP7,CP8,TCE_municipal,Atipicidad
1,AGUASCALIENTES,10,SAN FRANCISCO DE LOS ROMO,3,34917.0,3566.0245471072844,0.9892716837413312,0.03749814292081415,0.0150845428418134,0.017733047222859545,0.7559389344840048,-1.21272985219328,0.7143446263715731,0.9235400967110264,-0.60338169271064,-0.0846398482087348,-0.7824495305165696,-0.2619162630848836,-0.003055865447408029,G1,Tipica
2,BAJA CALIFORNIA,3,TECATE,3,85233.0,1700.5465487694435,0.9882333661288336,-0.012604117190486671,0.01767090638031471,0.02010637616975108,0.4577988073815484,-1.8999085235300683,-0.3713873709178536,1.5317922633449617,0.7120242307973798,-0.9241386170666698,0.013410632708421856,0.16042474327784986,-0.017602511180701,G0,Tipica
3,BAJA CALIFORNIA SUR,2,MULEGE,17,40805.0,5.033360150135659,0.9824513257214064,0.07835623678646934,0.024388869595059304,0.028702424612749387,0.9934230611564168,1.2224552022254334,0.025489014691146703,-0.8624893453251293,0.5995098935588629,0.3404662400546464,0.08669849008720623,0.030813753509278306,-0.021984455292823328,G2,Tipica
4,CAMPECHE,8,TENABO,4,8120.0,1086.5744099807048,0.9898812373365328,0.06561679790026248,0.020030524095262715,0.023773107148263483,0.9919811722131284,0.1534434506585776,0.2720732592063796,-0.4091831799560943,-0.9262029307068136,-0.2770269747264989,-0.04625281939371317,0.030775453205033755,-0.0065383247251465295,G1,Tipica
5,COAHUILA,11,GENERAL CEPEDA,15,9058.0,3.8350687329570095,0.9811563477989198,0.1505144163597104,0.04116508829665344,0.045413285695659916,0.993208963819942,4.262199208907842,-0.06620141862409426,-0.6737421923421677,0.5801161697908184,-0.5370034723849729,-0.026508144729365118,-0.8842498852650771,0.15194589066274206,G2,Tipica
6,COLIMA,2,COMALA,6,16735.0,197.4919628117636,0.9879990384194118,0.09236292428198434,0.02758756222966049,0.03211175419959921,0.9938539150404928,1.560012498586114,0.04613526735773919,-0.5723396088204604,-0.4948919763314339,-0.6025610619495231,0.2447553197352645,-0.1975877609406748,0.006571571387626443,G2,Tipica
7,CHIAPAS,67,PANTEPEC,4,7905.0,334.8044740607233,0.9643008420744986,0.09624185272500346,0.03711873827902826,0.04441466866660288,0.9213777559392248,4.082735484539824,-1.3423825574714854,1.2705735194463792,1.371911323789604,1.5906528315942143,0.12065939425770028,0.3110157964053014,-0.1620064383253971,G2,Tipica
8,CHIHUAHUA,66,URUACHI,10,4527.0,2.4906621740087656,0.9460173382604119,0.2395947426067908,0.07294092835183792,0.0849491988094082,0.9674713377739214,11.532487118875412,-1.8182836791680013,2.0351231945343637,3.241616448125084,1.6041432576344852,-0.006434415069723046,-0.9653616343498956,-0.17830292417067325,G2,Atípica en ICE principal
9,CIUDAD DE MEXICO,9,MILPA ALTA,0,107273.0,2559.563059015217,0.9891024226863724,0.060114635833580385,0.01899542209153661,0.022838008281828942,0.9876001605322712,-0.05726696814198973,1.190179433879645,0.4536009797154145,-0.9006643829980754,-0.05689994172056202,0.13756807911641195,0.13282725964306535,-0.0237131663305052,G1,Atípica en segundo ICE
10,DURANGO,2,CANELAS,13,3052.0,3.30728524137359,0.9738726558470044,-0.039345294302801384,0.03591160663048472,0.042358513468408916,0.6632954509626512,1.2690964431959273,-1.894890280978088,1.4764767695044698,2.553670358939664,-0.586738245960286,-0.4982470058772858,2.157445474797312,-0.17646023381022966,G2,Atípica en segundo ICE
11,GUANAJUATO,38,TARANDACUAO,5,10228.0,1665.7095261631234,0.98513241306707,0.09636617000750347,0.027084807723002882,0.030874123474250274,0.9904844860722436,1.6365060908994111,0.33988218364448225,-0.0034886662031889085,-0.5393277460715378,-0.0558547715648221,-0.2710724531734575,-0.31455717699064983,0.05428065466149412,G2,Tipica
12,GUERRERO,66,TLALIXTAQUILLA DE MALDONADO,6,5323.0,1267.135966425097,0.9783971740178392,0.07796678817334954,0.02349713051348117,0.0271761730270204,0.9249830405265632,1.2308202701030249,-0.28393301838672563,0.3199033907641289,0.09275515468151578,0.9477086040042636,-0.18974564742918704,-0.1075398909916589,0.00673058760408703,G2,Tipica
13,HIDALGO,12,ATOTONILCO DE TULA,9,34627.0,863.7856618990967,0.9875392024459224,0.097736495054527,0.030188149555773792,0.036311046478671234,0.9942464535499466,2.0281944563021397,0.3963463524192122,-0.41295551331567737,-0.20102084378854213,-0.7583767754699862,-0.021232085105495332,-0.2200812481632983,-0.08961207307465202,G2,Tipica
