EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8
1,AGUASCALIENTES,10,SAN FRANCISCO DE LOS ROMO,-1.123957461535618,0.770085285134957,0.16477356197853532,-0.9156541226767958,-0.4929723420188146,-0.31791814418639264,-0.18813872302138981,0.012307111586296066
1,AGUASCALIENTES,8,SAN JOSE DE GRACIA,-3.456425086296966,-0.7359414172942652,1.007404606296936,-0.5625123532050792,-0.93680136522661,0.18512517978322185,-1.1593363883657548,0.03246521691948363
1,AGUASCALIENTES,9,TEPEZALA,-2.780314514637845,-0.21787930148246018,1.1259771674665258,-0.5200603298364401,-0.949178623199238,-0.02984528057947661,-0.8284175319265537,0.10944226385233405
1,AGUASCALIENTES,11,EL LLANO,-2.545177452189092,-0.2647968373038355,0.6252829574212676,-0.10821480769956351,-0.9023475965069967,-0.1481846414503453,-0.154942373610346,-0.011659686399047844
1,AGUASCALIENTES,2,ASIENTOS,-2.432096606568407,-0.07518578079378105,1.405509461922615,0.18735241135234487,-0.9909503395921382,-0.4833910221756069,-0.5287149676384204,-0.007322074950379813
1,AGUASCALIENTES,3,CALVILLO,-2.4579310404778,0.6301268186338828,1.285054349167978,0.06378148990305472,-1.061986352822433,-0.15838901203572042,-0.1439580297014192,-0.035682527572375715
1,AGUASCALIENTES,4,COSIO,-2.66829850828086,-0.4520148221542564,1.01836762503972,-0.8327704520263361,-0.9199873890497133,0.018085738026619527,-0.5011176391532284,0.0011356184635554207
1,AGUASCALIENTES,5,JESUS MARIA,-2.6768735592790733,0.7067148030074742,1.0558086379290643,-0.6619328594247413,-1.0456018774450213,-0.726594374569442,-0.7716646583411708,0.08135777042640954
1,AGUASCALIENTES,6,PABELLON DE ARTEAGA,-3.1178643551401906,0.6626271694223684,0.9390226038393646,-1.150754877919951,-0.9695788772446249,0.023495383204143055,-0.7210196448689719,0.05454549784553735
1,AGUASCALIENTES,7,RINCON DE ROMOS,-2.9087759393301393,0.3769031905740246,1.2072763231269898,-0.7625476627699818,-1.2147766122018868,-0.20162878626673827,-0.7683964023247771,0.012772873642509204
1,AGUASCALIENTES,1,AGUASCALIENTES,-2.6716637208272234,1.8321761298159196,1.8262081824764123,-0.9758177702207922,-1.4008616808834908,-1.2477442120895939,-0.46331858970758394,0.08141643824689848
2,BAJA CALIFORNIA,2,MEXICALI,-2.4496052613741943,2.648109688910321,2.9859401966606014,1.483538255011431,-0.8642089766751967,-0.6286944058521549,-0.6590225584209539,0.038614974406303564
2,BAJA CALIFORNIA,4,TIJUANA,-2.3803455378579637,2.6715436978701543,2.855141893177027,-0.052930889455113164,-1.183945614578661,-1.0550333811101986,-0.6747654844543538,0.1973349570978335
2,BAJA CALIFORNIA,3,TECATE,-1.8811153920123207,-0.043787019338343953,1.4581861427527243,-0.34389064397787356,-1.5165569868943634,-0.9818187326146243,0.2251731830260868,0.012780008886755507
2,BAJA CALIFORNIA,1,ENSENADA,-2.5601865244074444,2.1894024358415947,2.8690938146981186,1.1950351522498301,-0.7194123909429396,-0.4899766809808161,-0.64222977204113,0.07888710003549948
2,BAJA CALIFORNIA,5,PLAYAS DE ROSARITO,-1.99163487230827,0.21402070100255502,1.6275626784391488,-0.8898330338264141,-1.2237282816833703,-1.0079123580325304,-0.5129488621999463,0.2035318339050148
3,BAJA CALIFORNIA SUR,1,COMONDU,0.3481721652527901,1.604338578912354,0.19276186491287822,1.0345574850142234,0.21338980881361724,-0.23327933517225297,0.051516379314112876,-0.006493245198596261
3,BAJA CALIFORNIA SUR,3,LA PAZ,-0.07997020121019119,2.5826703794151986,0.3508768407311585,1.0655850561212368,-0.1728487556983715,-0.43302552206992256,0.10791293473847247,-0.01986317643673109
3,BAJA CALIFORNIA SUR,5,LORETO,-0.11019205192402969,0.46778888663196155,-0.2891445749998043,-0.7169710457517714,0.2543976134216826,0.029748783375070677,0.29746965089555194,0.02514936825936408
3,BAJA CALIFORNIA SUR,4,LOS CABOS,1.1384654606199887,1.897423662468239,0.009766368573450602,0.03880721765760024,-0.8981119285955792,-0.8705000951435772,0.0014570577517937261,-0.05402315643634887
3,BAJA CALIFORNIA SUR,2,MULEGE,1.2095906749983152,0.7740264006357148,0.2562767330125594,0.8755613730132931,0.3129422373363795,-0.6652885331185417,0.09051728090362905,-0.011129690933861012
4,CAMPECHE,8,TENABO,0.12983590581093388,0.0649215617432284,-1.100949658411243,0.17857887092327576,-0.253990936379471,-0.023889089115277,0.050896252460437955,-0.009560748247085846
4,CAMPECHE,9,ESCARCEGA,0.19762496273657135,1.1038848451275094,0.19886458831853915,0.21423443600758751,0.5766493610367929,-0.5215493308901915,0.11722456000013527,0.002900554575644577
4,CAMPECHE,5,HECELCHAKAN,-0.03409243152344876,0.6361726952236489,-0.770234429223697,0.17976066316970005,-0.175251567554059,-0.37523020035549787,0.11011009157176188,0.03336568608833842
4,CAMPECHE,6,HOPELCHEN,-0.21200449262404308,1.2145394859691663,0.08462679538213531,0.9207173587371179,0.3219876689935242,-0.026390490783280367,0.19379900171066128,-0.01826235439801817
4,CAMPECHE,11,CALAKMUL,-2.3688688574561625,1.081235771106751,-0.14286879946870848,0.2911002093857514,0.48295876194995774,0.024805264504358205,0.1682207561554983,0.02612579937125095
4,CAMPECHE,7,PALIZADA,-0.7286592327952996,-0.04319761123375741,-0.014239159795421865,-0.06751020794780573,0.8187047740216898,-0.05618188073513451,0.3433332482639634,0.02664103774317338
4,CAMPECHE,10,CANDELARIA,-0.33847819822011477,1.3697522411076788,0.23114303784392662,1.0329435405183858,0.7646299918149442,-0.15568079741435553,0.1801131013627278,0.0044910550470317785
4,CAMPECHE,4,CHAMPOTON,-0.32546351870674023,1.9804784835922016,0.1884246362157422,0.8008854421679525,0.3268750406313489,-0.13682701394195715,0.09087743592263761,0.0335400454474531
4,CAMPECHE,2,CALKINI,-0.26723241670013603,0.9778052982604394,-0.41080367569856663,0.326766115935675,0.07159636519698816,-0.6176988435332919,0.24449529000062667,0.01598510378098164
4,CAMPECHE,1,CAMPECHE,-0.820418013936617,2.6381545392788084,0.21207352913187216,0.27004549873365624,-0.0004291613307209713,-0.49500063564946595,0.18244767082578242,0.04199085461176385
4,CAMPECHE,3,CARMEN,-1.1166821320014104,2.6707214763929437,0.4748822719593852,0.15569057002732647,0.4868669898244704,-0.44386039587015147,0.2468188349407485,0.06374945642960952
5,COAHUILA,13,HIDALGO,-0.7631665902216734,-2.3351651737060424,0.35524544162936916,-0.010117194754313068,1.4785852231950474,-0.5374043338597762,-0.6613201870878587,-0.023648320369792745
5,COAHUILA,2,ACUÐA,1.3254997958772305,1.3661043635989198,-0.1769436614966789,-0.8558688112774632,-0.8624347801432383,-0.7987326565671672,-0.01572588666530284,-0.06074175926579249
5,COAHUILA,14,JIMENEZ,0.9161048039206566,-0.2218689265919043,-0.8158588991371308,0.5398246526864624,-0.03215425688920553,-0.25451827875405764,-0.10547969091560214,-0.022286280748632436
5,COAHUILA,31,SAN BUENAVENTURA,0.3058350474408497,0.12241427119811399,-0.10954928451619574,-0.467619073299606,0.7750800564067531,-0.7651789065102566,0.18177192915041604,-0.018017645043413223
5,COAHUILA,24,PARRAS,-1.3698175447893721,0.9688699886210114,-0.20001268325519692,0.5809986741068355,0.8471435783145156,-0.6790477383933552,0.40213972714750373,0.0005399205520992486
5,COAHUILA,38,ZARAGOZA,0.5872024121222676,-0.1022894099499406,-0.438565241659396,0.08994991754903578,0.3450031193606983,-0.4232561782442811,0.11634979471255814,-0.06424057589919278
5,COAHUILA,30,SALTILLO,0.7801966745012395,3.337001999037903,1.0786549022004075,1.4524713291521103,-0.2825830870994643,-0.48811751901228156,-0.022127465246578385,-0.05388711110742513
5,COAHUILA,23,OCAMPO,-0.792620309246055,-1.083594133396588,1.2346477105702793,-0.02635209286022421,3.13024257118334,-1.397540317788236,0.5298512304028931,-0.013879650808647934
5,COAHUILA,34,SIERRA MOJADA,0.8709520032707564,-2.5296237785524163,3.3585136952849917,-1.3704335712160414,4.939672369633248,-2.00226435736079,0.5579671103601934,-0.05026918730893973
5,COAHUILA,36,VIESCA,-0.9763726860455123,0.9942923394975647,-0.2852467649087784,0.5254107103786412,0.6426778787081069,0.10091522493746577,0.23702121971653817,0.013799652708568314
5,COAHUILA,17,MATAMOROS,-0.30384393791638625,2.2964102470884,0.5601922910095914,0.7928399364641061,0.5311919470617071,-0.05563117651246703,0.027676494803873186,-0.006048842685411637
5,COAHUILA,25,PIEDRAS NEGRAS,0.7610284262263612,1.391098193014507,-0.3104370299058613,-0.5092348891315494,-0.777106914629755,-0.950096740480162,0.08128975909793137,-0.03465406014869505
5,COAHUILA,9,FRANCISCO I. MADERO,-0.1256713172296521,1.6558575998620961,0.17509672818823022,0.8223849885474817,0.4128269064948952,-0.06901697534865645,-0.0033868406835779893,0.014382033866274428
