EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,NUM_SECC_RUR,LNE,Densidad_LNE,Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Var_Prop_LNE,Autocorr_LNE,CP1 (ICE principal),CP2 (segundo ICE),CP3 (tercer ICE),CP4,CP5,CP6,CP7,TCE_municipal,Atipicidad
1,AGUASCALIENTES,10,SAN FRANCISCO DE LOS ROMO,3,34917.0,3566.0245471072844,0.9892716837413312,0.03749814292081415,0.0150845428418134,0.017733047222859545,0.7559389344840048,-1.0618988602751382,0.7880432377129402,-0.8375855423460026,-0.6144612953994144,-0.08812757630759238,-0.7827472183270906,-0.23857832142987995,G1,Tipica
1,AGUASCALIENTES,8,SAN JOSE DE GRACIA,4,6914.0,46.44442082231164,0.991803408929023,0.00028935185185185184,0.008344741284002366,0.008887311775021608,0.23706138459991455,-3.2426189103760485,-1.163180409178174,-0.3914351473213306,0.19357523406330013,0.8809107880016941,0.12867588618412915,-1.0126323880029384,G0,Tipica
1,AGUASCALIENTES,9,TEPEZALA,6,15545.0,2478.6754124935565,0.9906353256276796,0.0051079787921893185,0.011777095770194292,0.011920564133364566,0.3445667085761423,-2.7146492412988783,-0.20713995512172373,-0.9391793146938929,0.18421114186329646,0.6153933382702615,-0.7702951317962472,-0.7440572638679875,G0,Tipica
1,AGUASCALIENTES,11,EL LLANO,6,15067.0,1505.7495519103898,0.9910163386198628,-0.003373462098161132,0.012239282940131513,0.014231600764823325,0.5040196044462911,-2.489076739437876,-0.3244050824358534,-0.4111256340578205,-0.029804212544370618,0.4685625684621107,-0.3892112877250278,-0.1413794114684496,G0,Tipica
1,AGUASCALIENTES,2,ASIENTOS,11,34222.0,1484.7225508819738,0.9890798721132029,0.0018736459980092512,0.013432340094443608,0.01539656625007232,0.3747379431890598,-2.499466256807498,-0.3951907823124787,-0.5096210282288792,0.7184678779083922,0.6209660548321045,-0.4841748183811991,-0.5112859067458143,G0,Tipica
1,AGUASCALIENTES,3,CALVILLO,14,46424.0,370.17954516683693,0.9911496521656052,-0.006144163045107147,0.013265537498513787,0.015719269115306998,0.4840590687888893,-2.519777869978372,-0.4012403239559287,0.2568265934619549,0.6319928202574866,0.7197337409906174,-0.11000005943787608,-0.08684333968700066,G0,Tipica
1,AGUASCALIENTES,4,COSIO,2,11623.0,2695.941455231325,0.989895850669894,-0.0024888431170614488,0.011839799128126927,0.013460547546758982,0.3906463975183835,-2.6922132365015736,-0.2355264430344477,-1.2166324170684135,-0.04078396177635099,0.4322103251734164,-0.7185274109248715,-0.4589376088630837,G0,Tipica
1,AGUASCALIENTES,5,JESUS MARIA,6,82404.0,2980.720064332236,0.9911337159774044,0.01308089500860585,0.010581266983160259,0.01135704992385827,0.4227145205528665,-2.5792647538356133,0.5320127458868655,-0.9597959058223398,0.12821553637355654,0.46662163249289706,-0.5003122014844071,-0.7644644138093363,G0,Atípica en segundo ICE
1,AGUASCALIENTES,6,PABELLON DE ARTEAGA,5,31272.0,5176.676672362271,0.9928562557461952,0.002339818583928972,0.008622428397604213,0.009360989005979634,0.4213822732953025,-3.011833205071706,0.9927459828016988,-1.4248358494273492,-0.3683217650984572,0.23555297324992575,-1.5544505049560156,-0.7123218379042304,G0,Atípica en segundo ICE
1,AGUASCALIENTES,7,RINCON DE ROMOS,6,37605.0,3496.198849540612,0.99207913197021,0.0019183118855407239,0.0107081049122981,0.01216676373822124,0.35549146383704544,-2.936921025203536,0.3472068707004292,-1.1219921652397291,0.03419865495493328,0.595454004543984,-1.0056136259459671,-0.7286116477572835,G0,Atípica en segundo ICE
1,AGUASCALIENTES,1,AGUASCALIENTES,9,648368.0,5716.6941879422375,0.9907184444392284,0.00047063325633464647,0.01136687567648378,0.01241970558366465,0.4194348622072133,-3.11217660137111,4.8075807663509815,-2.4486251717777745,2.053583917466569,0.8820302838445636,1.6815886341259805,-0.3938605578984897,G3,Atípica en ICE principal
2,BAJA CALIFORNIA,2,MEXICALI,41,789602.0,2196.0525871165523,0.9893057386834749,0.003524272745412281,0.013681319681545642,0.015151891104261381,0.3733216891807398,-2.9708356526967874,4.942129967878026,-0.07691090984644773,4.71928047350217,1.4185033135472418,2.619585520411608,-0.4660221732307954,G3,Atípica en ICE principal
2,BAJA CALIFORNIA,4,TIJUANA,26,1435734.0,6592.51538975258,0.9889809900644216,0.005466662184647965,0.01409836620128881,0.013748992510608037,0.3668337049362833,-3.35716440869596,9.969778008658224,-3.1112097903669342,5.7405045175332425,1.813080667181744,5.325292630309899,-0.3554335767225865,G3,Atípica en ICE principal
2,BAJA CALIFORNIA,3,TECATE,3,85233.0,1700.5465487694435,0.9882333661288336,-0.012604117190486671,0.01767090638031471,0.020106376169751076,0.4577988073815484,-2.256632312905354,-0.1855485775257905,-1.1573838656092978,0.5172286809337527,0.7466346068630699,-0.05161086453530082,0.22676277631669725,G0,Tipica
2,BAJA CALIFORNIA,1,ENSENADA,37,399621.0,15.442451094543655,0.9885625739612708,0.0003279180955718541,0.013202716447074206,0.013986895231114222,0.3606688164903901,-2.75466777590796,1.7472510729594741,0.7929533936051401,3.4715868608175713,1.0762446830717445,1.2767617380513037,-0.4926262378153715,G2,Atípica en ICE principal
2,BAJA CALIFORNIA,5,PLAYAS DE ROSARITO,2,97429.0,2955.1303051636864,0.9873434077973392,0.008070440459808172,0.01611011517544305,0.015825238661997455,0.3794590059922927,-2.1674486675859352,0.21472835784086874,-1.6761191845284815,0.5305329494332703,0.6023257541341829,-0.3515700906826032,-0.4693650226500633,G0,Tipica
