EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,NUM_SECC_RUR,LNE,Densidad_LNE,Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Var_Prop_LNE,Autocorr_LNE,CP1 (ICE principal),CP2 (segundo ICE),CP3 (tercer ICE),CP4,CP5,CP6,CP7,CP8,TCE_municipal,Atipicidad
1,AGUASCALIENTES,10,SAN FRANCISCO DE LOS ROMO,3,34917.0,3566.0245471072844,0.9892716837413312,0.03749814292081415,0.0150845428418134,0.017733047222859545,0.7559389344840048,-1.2127298521932801,0.7143446263715731,0.9235400967110264,-0.60338169271064,-0.0846398482087348,-0.7824495305165696,-0.2619162630848836,-0.003055865447408029,G1,Tipica
1,AGUASCALIENTES,8,SAN JOSE DE GRACIA,4,6914.0,46.44442082231164,0.991803408929023,0.00028935185185185184,0.008344741284002366,0.008887311775021608,0.23706138459991455,-3.4066875526980533,-1.3627977391531148,0.7546666347541239,0.41580950591470095,-0.8855995764113354,0.27284428984086456,-1.0932978642133402,0.029087764198549325,G0,Tipica
1,AGUASCALIENTES,9,TEPEZALA,6,15545.0,2478.6754124935565,0.9906353256276796,0.0051079787921893185,0.011777095770194292,0.011920564133364566,0.3445667085761423,-2.7954307782752736,-0.3915670123369001,1.26684758600293,0.33762283014456473,-0.6934607611292806,-0.6572873394072678,-0.8647589542046573,0.09980600850457788,G0,Tipica
1,AGUASCALIENTES,11,EL LLANO,6,15067.0,1505.7495519103898,0.9910163386198628,-0.003373462098161132,0.012239282940131513,0.014231600764823325,0.5040196044462911,-2.5241973183364497,-0.4870148162669216,0.7243758599668806,0.1724574881669062,-0.7177821141587509,-0.3403823843329533,-0.18777269497191235,-0.019982563523814344,G0,Tipica
1,AGUASCALIENTES,2,ASIENTOS,11,34222.0,1484.7225508819738,0.9890798721132029,0.0018736459980092512,0.013432340094443608,0.01539656625007232,0.3747379431890598,-2.419575435259337,-0.5696471451444329,0.8757521756116026,0.9152935323012532,-0.7180305717610456,-0.3916930141398744,-0.59220324261627,-0.023749300194947358,G0,Tipica
1,AGUASCALIENTES,3,CALVILLO,14,46424.0,370.17954516683693,0.9911496521656052,-0.006144163045107147,0.013265537498513787,0.015719269115306998,0.4840590687888893,-2.470322299852701,-0.5636093540368975,0.13828484373894834,0.9227003516676532,-0.9406971676611536,-0.03836110651008135,-0.13970863420459162,-0.050688013643598234,G0,Tipica
1,AGUASCALIENTES,4,COSIO,2,11623.0,2695.941455231325,0.989895850669894,-0.0024888431170614488,0.011839799128126927,0.013460547546758982,0.3906463975183835,-2.6834084427673304,-0.4261648945490403,1.5348583891231025,0.0985287957952084,-0.6167523622287377,-0.651088546250303,-0.5297919597072607,-0.00793589506381651,G0,Tipica
1,AGUASCALIENTES,5,JESUS MARIA,6,82404.0,2980.720064332236,0.9911337159774044,0.01308089500860585,0.010581266983160259,0.01135704992385827,0.4227145205528665,-2.760525114806339,0.35835281532017,1.2714568014836027,0.2526998633277995,-0.5151534250616091,-0.4079138984146233,-0.8445049668625251,0.05575725013395158,G0,Atípica en segundo ICE
1,AGUASCALIENTES,6,PABELLON DE ARTEAGA,5,31272.0,5176.676672362271,0.9928562557461952,0.002339818583928972,0.008622428397604213,0.009360989005979634,0.4213822732953025,-3.2394576449083874,0.7867358035352123,1.764538411230104,-0.2405771131790556,-0.512305865870445,-1.4908591609705633,-0.8145316860133628,0.04018862775240418,G0,Atípica en segundo ICE
1,AGUASCALIENTES,7,RINCON DE ROMOS,6,37605.0,3496.198849540612,0.99207913197021,0.0019183118855407239,0.0107081049122981,0.01216676373822124,0.35549146383704544,-2.9792363529073222,0.14105013585022674,1.5006239895557505,0.21996695246206227,-0.7960986812582155,-0.9041928760241208,-0.8344265732287928,-0.004735901536660158,G0,Tipica
1,AGUASCALIENTES,1,AGUASCALIENTES,9,648368.0,5716.6941879422375,0.9907184444392284,0.00047063325633464647,0.01136687567648378,0.01241970558366465,0.4194348622072133,-3.116863258387645,4.533693558756164,3.0874619807174506,2.165400112671541,-0.5137193322884316,1.7970005392619917,-0.40563678884130977,0.04422666312545262,G4,Atípica en ICE principal
2,BAJA CALIFORNIA,2,MEXICALI,41,789602.0,2196.0525871165523,0.9893057386834749,0.003524272745412281,0.013681319681545642,0.015151891104261381,0.3733216891807398,-2.895320078330998,4.695377023721463,0.9428603108527122,5.040840576093881,-0.7719420429491913,2.8002645918867732,-0.4910712987585106,0.019139340216397974,G4,Atípica en ICE principal
2,BAJA CALIFORNIA,4,TIJUANA,26,1435734.0,6592.51538975258,0.9889809900644216,0.005466662184647965,0.01409836620128881,0.013748992510608037,0.3668337049362833,-3.234762389366049,9.615897916000968,4.181479254838925,5.872466046250138,-0.5352528940273077,5.5518576957640855,-0.32147244450046203,0.17305481917134766,G4,Atípica en ICE principal
2,BAJA CALIFORNIA,3,TECATE,3,85233.0,1700.5465487694435,0.9882333661288336,-0.012604117190486671,0.01767090638031471,0.020106376169751076,0.4577988073815484,-1.8999085235300683,-0.3713873709178536,1.5317922633449617,0.7120242307973798,-0.9241386170666698,0.013410632708421856,0.16042474327784986,-0.017602511180701,G0,Tipica
2,BAJA CALIFORNIA,1,ENSENADA,37,399621.0,15.442451094543655,0.9885625739612708,0.0003279180955718541,0.013202716447074206,0.013986895231114222,0.3606688164903901,-2.7756800838552333,1.5573621614320687,-0.14207724216697218,3.791223578959829,-0.7159204674836658,1.4237577730674815,-0.553179001019282,0.057305254700871715,G3,Atípica en tercer ICE
2,BAJA CALIFORNIA,5,PLAYAS DE ROSARITO,2,97429.0,2955.1303051636864,0.9873434077973392,0.008070440459808172,0.01611011517544305,0.015825238661997455,0.3794590059922927,-2.0658498073821803,0.03960881346596815,1.9708208307436341,0.5907163074064742,-0.5187119968542885,-0.24509682413179465,-0.5901485332548999,0.17097535762408878,G0,Tipica
3,BAJA CALIFORNIA SUR,1,COMONDU,24,53927.0,15.054280735835789,0.9867651992479328,0.06710068070286529,0.020502608468514368,0.02426130145944955,0.9956254036191616,0.3177198751046918,0.4335270733343083,-1.4862369651913638,0.7062208250865001,0.06045807925720933,-0.06828188222751361,0.01871544645276513,-0.012860144030086429,G3,Tipica
3,BAJA CALIFORNIA SUR,3,LA PAZ,28,206629.0,35.135769080896594,0.9897259074676352,0.05924479166666665,0.018853517524496453,0.02274664077228311,0.9961425721344276,-0.21778883430304796,1.5373792108853013,-1.5597985859164574,1.2285805024486298,-0.2535410907746481,0.6850203175232977,0.12295469408385065,-0.03410338611554093,G3,Tipica
3,BAJA CALIFORNIA SUR,5,LORETO,4,11866.0,5.183861513182083,0.9859787741263006,0.04971691436659589,0.01817968550913617,0.021144518668083076,0.9758070696415588,-0.11768211238299266,-0.3240482513500927,-0.4382347624991308,-0.5238419546418084,0.2730041985808377,0.3577807543276607,0.3500642515327267,0.021560523279378883,G1,Tipica
3,BAJA CALIFORNIA SUR,4,LOS CABOS,11,221022.0,742.3770736675128,0.9888475879426964,0.08032729192327996,0.025148072835998302,0.030522638755431195,0.9968238430132124,0.9941280508051482,1.5267718090897382,-0.3329780712264406,0.3560997748669176,-0.5888914984194618,1.074190600775326,0.021745080989812676,-0.07892186345592657,G1,Atípica en segundo ICE
3,BAJA CALIFORNIA SUR,2,MULEGE,17,40805.0,5.033360150135659,0.9824513257214064,0.07835623678646934,0.024388869595059304,0.028702424612749387,0.9934230611564168,1.2224552022254334,0.025489014691146703,-0.8624893453251293,0.5995098935588629,0.3404662400546464,0.08669849008720623,0.030813753509278306,-0.021984455292823328,G2,Tipica
4,CAMPECHE,8,TENABO,4,8120.0,1086.5744099807048,0.9898812373365328,0.06561679790026248,0.020030524095262715,0.023773107148263483,0.9919811722131284,0.1534434506585776,0.2720732592063796,-0.4091831799560943,-0.9262029307068136,-0.27702697472649895,-0.04625281939371317,0.030775453205033755,-0.0065383247251465295,G1,Tipica
4,CAMPECHE,9,ESCARCEGA,15,40540.0,1995.1161555565207,0.9836395518980964,0.06295393167099295,0.018420989531087083,0.021808906779042285,0.9816308130030696,0.14489904886429836,0.6441023169789146,-0.33407103469310184,0.1603546955775444,0.7294585069346577,-0.5429578171573176,0.026718433703639927,-0.008218934346701897,G1,Tipica
4,CAMPECHE,5,HECELCHAKAN,7,22198.0,1305.1297940173936,0.989158624118374,0.06205444715563849,0.018945445707643,0.022076330513612127,0.9937548213583048,-0.04007611382172485,0.4437140578195883,-0.4584772158994413,-0.6956111551271121,-0.06899421985911454,-0.13869602394341773,0.05723006224867839,0.026940850854703883,G1,Tipica
4,CAMPECHE,6,HOPELCHEN,22,27491.0,27.448743938833235,0.9871576607318476,0.05204546324289158,0.018095290841425228,0.021563039290900768,0.9703251320258768,-0.21820247095940135,0.1729365159897201,-1.3856755833676069,0.5310141638677788,0.11437285472171092,-0.17484664663943056,0.16979849407316225,-0.01942297192886817,G3,Tipica
4,CAMPECHE,11,CALAKMUL,17,19096.0,9.868203450992603,0.990263678178098,0.016718134383984666,0.007473904106961406,0.008862091273374409,0.8546639680162276,-2.37451553771196,-0.0750253518151236,-1.2123274170733946,0.053799221984832835,0.3278580030227817,-0.014180247098633155,0.17330493945695866,0.025253846168537302,G1,Tipica
4,CAMPECHE,7,PALIZADA,9,7006.0,5.649768041127659,0.9834885279006276,0.03593079994085465,0.014985939689049682,0.017259263174172732,0.9116931537412792,-0.6948616887558009,-0.5158810879860752,-0.4594789227023253,0.015415338727744775,0.7448626268122437,0.16107949154223808,0.3567152949732353,0.02829806980273697,G1,Tipica
4,CAMPECHE,10,CANDELARIA,25,31875.0,125.22160208227406,0.985369332844772,0.05302279484638256,0.01630153497982113,0.01925137983781528,0.9864284059950724,-0.3516484845240004,0.24790273901956705,-1.5065781974915473,0.7329516253075857,0.5574003719400792,-0.2569105658404534,0.13705306650651464,0.002440764857722898,G3,Tipica
4,CAMPECHE,4,CHAMPOTON,25,64575.0,2216.8114692964814,0.9880843233232552,0.05635530835923443,0.016978594941257343,0.01977138055827505,0.993329040943942,-0.4210430777725804,1.2621956358254265,-1.0126193096363292,0.4922048787836909,0.2770162621605277,-0.830536457362172,0.002443753365135696,0.02715356478378908,G3,Tipica
