EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,CP1,CP2,CP3,CP4,CP5,CP6,CP7,TCE_municipal
1,AGUASCALIENTES,10,SAN FRANCISCO DE LOS ROMO,-0.9773983419003018,0.0280423469934187,0.06309695710864402,-0.6063135318257306,-0.008889501028342559,0.12572371875177904,-0.1864410036243178,G2
1,AGUASCALIENTES,8,SAN JOSE DE GRACIA,-3.305608780381,-0.8099670858836819,0.5328082765915919,-0.04774991710863871,-0.02331445434726956,0.8500076913405412,-1.029153753280892,G1
1,AGUASCALIENTES,9,TEPEZALA,-2.7037111233317352,-0.6204900425112232,0.5423204255435676,0.06836390671499007,-0.05703129592040102,0.809700074120782,-0.7033134798576062,G1
1,AGUASCALIENTES,11,EL LLANO,-2.5155905327066104,-0.4531196500941767,0.09847090461084752,0.009010000332530108,0.01280384329136667,0.5482834798296461,-0.12445974924817133,G1
1,AGUASCALIENTES,2,ASIENTOS,-2.5267157212833853,-0.5027146934217225,0.5279815224756519,0.6368607619758888,0.018322680974343687,0.718381775790999,-0.4912476536274017,G1
1,AGUASCALIENTES,3,CALVILLO,-2.5398452562880305,0.0762057408219881,0.3442963972831732,0.5158336539968734,-0.12911687949876086,0.7428200564458051,-0.09088745309863183,G1
1,AGUASCALIENTES,4,COSIO,-2.675901845134522,-0.7993797519677166,0.6013448193983829,-0.20819899569833464,-0.0021477529507824555,0.6173038989667692,-0.4181535867204278,G1
1,AGUASCALIENTES,5,JESUS MARIA,-2.5137820259801344,-0.0391690270200707,0.6043933503531524,-0.09027289624246616,0.3081618967652833,0.5642982651782393,-0.7338038945289949,G1
1,AGUASCALIENTES,6,PABELLON DE ARTEAGA,-2.8595917658315964,0.0004193920534036594,0.667834398113913,-0.5669833768166562,-0.3071462545274805,0.6882098773534543,-0.6153972017171173,G1
1,AGUASCALIENTES,7,RINCON DE ROMOS,-2.8663802013973725,-0.2866634245751778,0.6369817886493403,-0.14527281964926705,-0.03995510659773868,0.8573585169517658,-0.670599523514839,G1
1,AGUASCALIENTES,1,AGUASCALIENTES,-2.711418468198396,2.9801193834941637,3.0541572924375013,0.3535440083095085,3.761175192440224,0.09631916164813503,-0.4635242953071597,G1
2,BAJA CALIFORNIA,2,MEXICALI,-2.6442891299604168,4.632591430098666,3.1023850220492983,3.0944985429284206,4.001238458562116,0.2994720323355013,-0.6093628055536383,G1
2,BAJA CALIFORNIA,4,TIJUANA,-2.6195158986540106,7.359593075584715,6.014883825147432,2.2586905563234563,8.53502918467799,-0.4006866220566905,-0.6144346209917161,G1
2,BAJA CALIFORNIA,3,TECATE,-2.263984217534172,-0.6589924568176396,0.846390796379208,0.20201869694272065,0.6491352072764642,0.6735210516196469,0.2259799891623434,G1
2,BAJA CALIFORNIA,1,ENSENADA,-2.630064096940358,2.5045797282712368,1.91155362600968,2.5560335184618888,1.4297017546446424,0.5748449543697176,-0.573841512373985,G1
2,BAJA CALIFORNIA,5,PLAYAS DE ROSARITO,-2.115868872033188,-0.6332819322975629,1.1976481313768832,0.06871693555073694,0.6195202776523888,0.6303483357170073,-0.4468094334922533,G1
3,BAJA CALIFORNIA SUR,1,COMONDU,0.452049682460229,1.0617403831434051,-0.6051729938579119,0.9675289692108298,-0.3463740443010415,-0.037535127865632664,0.008567046887339688,G2
3,BAJA CALIFORNIA SUR,3,LA PAZ,0.02820656401586029,2.2605988803993324,-0.25974115224247546,1.0890534496343314,0.48922047329954704,0.03211284032185173,0.05991950720871046,G2
3,BAJA CALIFORNIA SUR,5,LORETO,0.07099387177174639,-0.003962751317927229,-0.2580035931802787,-0.4827422120101968,-0.16852498939948332,-0.3781381933254671,0.2648739521407045,G2
3,BAJA CALIFORNIA SUR,4,LOS CABOS,0.8542897272674286,1.447372116150602,0.05021127283419412,0.05286919717487376,1.2687041777749235,0.2795396785784347,-0.02653799394654565,G2
3,BAJA CALIFORNIA SUR,2,MULEGE,1.1269096294855063,0.2694023472971783,-0.2994057186002103,0.8740721783295965,-0.10031898190328513,-0.2371952007620869,0.0014540113002179768,G0
4,CAMPECHE,8,TENABO,0.22778855773727635,0.12008850633246915,-0.965985539421258,-0.5532367476261411,0.13117439376231427,0.10632316006727592,0.038072050599789284,G2
4,CAMPECHE,9,ESCARCEGA,0.4138985601519577,0.41727218144884815,-0.2613616439303425,0.5014574517282414,-0.24992562238011964,-0.5610269983267613,0.008078201895172834,G2
4,CAMPECHE,5,HECELCHAKAN,0.14260810767373935,0.30861967213936026,-0.8500094690424602,-0.3322651776342831,0.06263589431226882,-0.04049465763269095,0.06195690187084155,G2
4,CAMPECHE,6,HOPELCHEN,-0.02390938021994752,0.8356949565625271,-0.6599340639211865,0.8155416905597478,-0.493423327530509,-0.13724246154979847,0.14425599086335414,G2
4,CAMPECHE,11,CALAKMUL,-1.7043799182366486,0.7840056354306074,-0.6719080519202316,0.23795172669016626,-0.5822254818743174,-0.4661953705098469,0.08136845503391409,G2
4,CAMPECHE,7,PALIZADA,-0.3921817480563714,-0.17007944195137806,-0.1970455484083423,0.20138739906161746,-0.2942780915709281,-0.7542986879871478,0.24419642222270554,G2
4,CAMPECHE,10,CANDELARIA,0.007617733516234431,0.9337692822424808,-0.5854132091052415,1.0834341379981356,-0.6271870082911412,-0.4722446399338249,0.08571050134358159,G2
4,CAMPECHE,4,CHAMPOTON,-0.023107960211096814,1.3546944635355551,-0.5981276094176139,0.8504729999123385,-0.4435415010438225,-0.16276947138324044,0.047355236375160835,G2
4,CAMPECHE,2,CALKINI,-0.019117134556437057,0.4959779890075425,-0.6780990393595729,0.026866740198105168,-0.012468794464523524,-0.309115093191773,0.13882604023614892,G2
4,CAMPECHE,1,CAMPECHE,-0.4567331882841858,2.179736588968977,-0.05903968194183026,0.47822372256854995,0.4494873574235301,-0.2849275281509424,0.1115347074717498,G2
4,CAMPECHE,3,CARMEN,-0.5888024140572459,2.0734350818571,0.11791518806163433,0.623780997085835,0.023536666398586755,-0.6110042221695596,0.14658841689356475,G2
5,COAHUILA,13,HIDALGO,-0.4148683603777475,-1.6283131446056742,0.7379119502085679,0.442336537338262,0.101000291415826,-1.1726853391071703,-0.8296757973092641,G1
5,COAHUILA,2,ACUÐA,1.0383085747452945,0.487249387196259,0.03924989791843536,-0.7366537581940898,0.7521865663415781,0.2253670912988228,-0.0350230054990675,G2
5,COAHUILA,14,JIMENEZ,0.8848642651491424,-0.1131727211059393,-0.7325852978645052,-0.1246395030404917,0.13542532526610254,0.03250155896198875,-0.13991816735153925,G2
5,COAHUILA,31,SAN BUENAVENTURA,0.5345145151324667,-0.44100589803288615,-0.08006170204946847,-0.1201433533930278,0.007666699426980643,-0.9557748259236444,0.013753371958624278,G2
5,COAHUILA,24,PARRAS,-0.7597096096449658,0.6031135368454342,-0.6133084665596031,0.4379372558737016,-0.37785929673740576,-0.9479078208007208,0.1964495059313852,G2
5,COAHUILA,38,ZARAGOZA,0.6394544475458723,-0.2791038233504953,-0.4293389953647455,-0.07609270003135069,0.050620899963323585,-0.4436279273989113,0.01186761973065076,G2
5,COAHUILA,30,SALTILLO,0.5722901156046281,4.395123534247532,1.247959023160991,2.0865539121558117,2.802710543831437,-0.0697842605780239,-0.04480188864702632,G2
5,COAHUILA,23,OCAMPO,-0.043727637832024005,-1.3252919702760873,1.0572371254786763,1.3778377379109532,-0.551122214850307,-2.8790429276470677,0.08372963513379958,G0
5,COAHUILA,34,SIERRA MOJADA,1.3522105882366122,-3.2956830375450843,3.2053724699525215,2.310215783583735,-0.570831570559083,-4.417036091448359,-0.03711128544621989,G0
5,COAHUILA,36,VIESCA,-0.5055511564387363,0.7526249256894698,-0.7671627521779277,0.4023874633863278,-0.5511823926840566,-0.4743498359626777,0.1606775027023238,G2
5,COAHUILA,17,MATAMOROS,0.004299863241463267,1.5874375335474296,-0.3387570765965169,1.1291027115480992,-0.5790367691431009,-0.2590516821292069,-0.02087053365637488,G2
5,COAHUILA,25,PIEDRAS NEGRAS,0.6182047978617626,0.6524206017669415,-0.17748469776462356,-0.5614766706353322,0.8611891936838032,0.08749041804561496,0.023128499675971692,G2
5,COAHUILA,9,FRANCISCO I. MADERO,0.1360224987994932,1.0865271936847003,-0.6075033151908871,0.8707960741859437,-0.5207909221221223,-0.16341726268772358,-0.042855727769717036,G2
5,COAHUILA,27,RAMOS ARIZPE,2.3681443259669788,0.7459087598441442,-0.1952664580972476,1.3036847996163723,-0.01911104876968104,0.6574668009849878,-0.4130481909460468,G0
5,COAHUILA,35,TORREON,-0.17519306864261586,2.9337097872357516,1.2922556751482979,-0.2939817590513244,2.9506639354075976,-0.6355488141006214,0.11013725212899424,G2
5,COAHUILA,1,ABASOLO,1.9438268587425729,-1.7663610215282022,0.7309720997567267,0.690787181280998,0.20559766134185328,-1.4197346433900686,0.156678645511078,G0
