EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,NUM_SECC_RUR,log(LNE),log(Densidad_LNE),Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Var_Prop_LNE,Autocorr_LNE,CP1 (ICE principal),CP2 (segundo ICE),CP3 (tercer ICE),CP4,CP5,CP6,CP7,CP8,TCE_municipal,Atipicidad
1,AGUASCALIENTES,10,SAN FRANCISCO DE LOS ROMO,3,10.460729095610086,8.179206682052586,0.9892716837413312,0.03749814292081415,0.0150845428418134,0.017733047222859545,0.7559389344840048,-1.2140696678309726,0.5130315626295975,-1.450944858170577,0.4315185068938363,0.18264291815953912,-0.2593139974490156,-0.1872430078068097,0.010093904602427105,G1,Tipica
1,AGUASCALIENTES,8,SAN JOSE DE GRACIA,4,8.84130362048157,3.8382563465778925,0.991803408929023,0.00028935185185185184,0.008344741284002366,0.008887311775021608,0.23706138459991455,-3.4223011163263033,-1.2840146860486268,0.5770587569511223,0.6480522644075045,-0.9696107666428044,-0.6380142435562349,-1.1479833638630572,0.03778496859718113,G2,Tipica
1,AGUASCALIENTES,9,TEPEZALA,6,9.651494322492853,7.815479588607111,0.9906353256276796,0.0051079787921893185,0.011777095770194292,0.011920564133364566,0.3445667085761423,-2.8200734981420754,-0.5170938539441857,-1.072523317200495,1.3623196881418012,-0.34075209803245404,0.004996135840341115,-0.7994877897743978,0.10734488028836907,G2,Tipica
1,AGUASCALIENTES,11,EL LLANO,6,9.620262200801289,7.317046094338124,0.9910163386198628,-0.003373462098161132,0.012239282940131513,0.014231600764823325,0.5040196044462911,-2.557358948713209,-0.2954721395287656,-0.8902537579591886,0.9757089134771508,-0.4180654508270255,-0.04481337390978783,-0.15764935648445688,-0.013624413487838268,G2,Tipica
1,AGUASCALIENTES,2,ASIENTOS,11,10.440623991091917,7.302983199358161,0.9890798721132029,0.0018736459980092512,0.013432340094443608,0.01539656625007232,0.3747379431890598,-2.449705274303526,-0.11881062534312932,-0.6434047821115112,1.8116376000820595,-0.3077461252706759,-0.20019974832607956,-0.5636933828997995,-0.009320251958712451,G2,Tipica
1,AGUASCALIENTES,3,CALVILLO,14,10.745571845870444,5.9139881451467335,0.9911496521656052,-0.006144163045107147,0.013265537498513787,0.015719269115306998,0.4840590687888893,-2.495830877355869,0.3420881862995253,-0.019881377813453973,1.4615896331920484,-0.6655056498652988,-0.41511676899963296,-0.1598537029893818,-0.034628675139731065,G2,Tipica
1,AGUASCALIENTES,4,COSIO,2,9.360741172643708,7.899502756377767,0.989895850669894,-0.0024888431170614488,0.011839799128126927,0.013460547546758982,0.3906463975183835,-2.7061823877284827,-0.8110793053707868,-1.2453347006706004,1.1857491346482596,-0.2902676253197156,-0.0736310313343401,-0.4656397190032995,-0.0008270919939162889,G2,Tipica
1,AGUASCALIENTES,5,JESUS MARIA,6,11.319389258408677,7.999920182637315,0.9911337159774044,0.01308089500860585,0.010581266983160259,0.01135704992385827,0.4227145205528665,-2.757480397535488,0.4019006674548301,-1.2743745699247089,1.437397583980338,-0.09677423570507797,-0.6302589826804103,-0.8168348477951648,0.08009275185281982,G2,Tipica
1,AGUASCALIENTES,6,PABELLON DE ARTEAGA,5,10.35047840747279,8.551918560318011,0.9928562557461952,0.002339818583928972,0.008622428397604213,0.009360989005979634,0.4213822732953025,-3.2238928644683016,0.09057602952499542,-1.5338676891956178,1.1418958361535592,-0.21377614271548684,-0.13896418677089348,-0.6721739845315768,0.05248098017066685,G2,Tipica
1,AGUASCALIENTES,7,RINCON DE ROMOS,6,10.534892299260504,8.159431614317082,0.99207913197021,0.0019183118855407239,0.0107081049122981,0.01216676373822124,0.35549146383704544,-2.986285002149488,-0.038556715024064936,-1.3253663371847282,1.5179861516988584,-0.4054876778302517,-0.2810228162406431,-0.7542695158876095,0.01110589909777956,G2,Tipica
1,AGUASCALIENTES,1,AGUASCALIENTES,9,13.3822137153741,8.651145978131689,0.9907184444392284,0.00047063325633464647,0.01136687567648378,0.01241970558366465,0.4194348622072133,-2.82379258474285,1.2760473450558476,-1.5279958856333262,2.3130316596010325,0.052044239012964746,-1.2459132595723854,-0.5540703271425376,0.08066216563288872,G2,Atípica en segundo ICE
2,BAJA CALIFORNIA,2,MEXICALI,41,13.579284300026266,7.694416749117088,0.9893057386834749,0.003524272745412281,0.013681319681545642,0.015151891104261381,0.3733216891807398,-2.5773134189593767,2.4731238346239044,0.33175544696285725,3.615862009925917,-0.033333283855939616,0.1259176428875643,-0.7003697758062661,0.034834488390016016,G3,Tipica
2,BAJA CALIFORNIA,4,TIJUANA,26,14.177186774663054,8.793690252658177,0.9889809900644216,0.005466662184647965,0.01409836620128881,0.013748992510608037,0.3668337049362833,-2.5609831338927527,2.1142969100703266,-0.8283794397874272,3.4033107020666757,0.1941698590407237,-0.6907446702660694,-0.7388682606511422,0.19476374889317447,G3,Tipica
