EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,TCE_municipal
1,AGUASCALIENTES,10,SAN FRANCISCO DE LOS ROMO,-1.2140696678309726,0.5130315626295975,-1.450944858170577,0.4315185068938363,0.18264291815953912,-0.2593139974490156,-0.1872430078068097,0.010093904602427105,G1
1,AGUASCALIENTES,8,SAN JOSE DE GRACIA,-3.4223011163263033,-1.2840146860486268,0.5770587569511223,0.6480522644075045,-0.9696107666428044,-0.6380142435562349,-1.1479833638630572,0.03778496859718113,G2
1,AGUASCALIENTES,9,TEPEZALA,-2.8200734981420754,-0.5170938539441857,-1.072523317200495,1.3623196881418012,-0.34075209803245404,0.004996135840341115,-0.7994877897743978,0.10734488028836907,G2
1,AGUASCALIENTES,11,EL LLANO,-2.557358948713209,-0.2954721395287656,-0.8902537579591886,0.9757089134771508,-0.4180654508270255,-0.04481337390978783,-0.15764935648445688,-0.013624413487838268,G2
1,AGUASCALIENTES,2,ASIENTOS,-2.449705274303526,-0.11881062534312932,-0.6434047821115112,1.8116376000820595,-0.3077461252706759,-0.20019974832607956,-0.5636933828997995,-0.009320251958712451,G2
1,AGUASCALIENTES,3,CALVILLO,-2.495830877355869,0.3420881862995253,-0.019881377813453973,1.4615896331920484,-0.6655056498652988,-0.41511676899963296,-0.1598537029893818,-0.034628675139731065,G2
1,AGUASCALIENTES,4,COSIO,-2.7061823877284827,-0.8110793053707868,-1.2453347006706004,1.1857491346482596,-0.2902676253197156,-0.0736310313343401,-0.4656397190032995,-0.0008270919939162889,G2
1,AGUASCALIENTES,5,JESUS MARIA,-2.757480397535488,0.4019006674548301,-1.2743745699247089,1.437397583980338,-0.09677423570507797,-0.6302589826804103,-0.8168348477951648,0.08009275185281982,G2
1,AGUASCALIENTES,6,PABELLON DE ARTEAGA,-3.2238928644683016,0.09057602952499542,-1.5338676891956178,1.1418958361535592,-0.21377614271548684,-0.13896418677089348,-0.6721739845315768,0.05248098017066685,G2
1,AGUASCALIENTES,7,RINCON DE ROMOS,-2.986285002149488,-0.038556715024064936,-1.3253663371847282,1.5179861516988584,-0.4054876778302517,-0.2810228162406431,-0.7542695158876095,0.01110589909777956,G2
1,AGUASCALIENTES,1,AGUASCALIENTES,-2.82379258474285,1.2760473450558476,-1.5279958856333262,2.3130316596010325,0.052044239012964746,-1.2459132595723854,-0.5540703271425376,0.08066216563288872,G2
2,BAJA CALIFORNIA,2,MEXICALI,-2.5773134189593767,2.4731238346239044,0.33175544696285725,3.615862009925917,-0.033333283855939616,0.1259176428875643,-0.7003697758062661,0.034834488390016016,G3
2,BAJA CALIFORNIA,4,TIJUANA,-2.5609831338927527,2.1142969100703266,-0.8283794397874272,3.4033107020666757,0.1941698590407237,-0.6907446702660694,-0.7388682606511422,0.19476374889317447,G3
2,BAJA CALIFORNIA,3,TECATE,-1.912003855538883,-0.14348819786895814,-1.1240097379293954,1.9626053258012617,-0.4416688400970351,-0.9890445519114222,0.13089217747859352,0.012296385794394672,G2
2,BAJA CALIFORNIA,1,ENSENADA,-2.6106174708250482,1.6352576183300591,2.3458200816352464,2.6952400580767595,-0.6016074311120396,-0.8827773661895767,-0.7176818496490669,0.08471393048413324,G3
2,BAJA CALIFORNIA,5,PLAYAS DE ROSARITO,-2.0593661586252026,-0.146951922941181,-1.3563258265121876,1.9732339021890344,-0.029796613243522063,-0.9900971185955676,-0.5868375027028601,0.20282021192991628,G2
3,BAJA CALIFORNIA SUR,1,COMONDU,0.3419818018152576,1.6115876503288755,1.79289807361846,0.04762337020280456,-0.19441508688559112,-0.4230867389356622,-0.009538974956759705,-0.0021093629782232733,G3
3,BAJA CALIFORNIA SUR,3,LA PAZ,-0.14054819092233028,2.5468851777304646,1.432672186357333,0.4465793661664135,-0.3089497142840917,-0.5725139146173177,0.030864746471489717,-0.016123093087442555,G3
3,BAJA CALIFORNIA SUR,5,LORETO,-0.09595542420003136,-0.06309621543977602,1.5183040892910626,-1.0406307323960255,-0.2461885992304537,-1.109931534432297,0.2671695664561253,0.03385424809500226,G1
3,BAJA CALIFORNIA SUR,4,LOS CABOS,1.0468011914521975,1.9749427836189255,-0.6896599883544653,0.5474290097455876,-0.2639315429533444,-0.8127096400426561,-0.0922838856549156,-0.053586225416166935,G1
3,BAJA CALIFORNIA SUR,2,MULEGE,1.254584993539092,0.8397686728897722,2.082101665722321,-0.04499011281693403,-0.05289531787468168,-0.9580589580896586,-0.02788025435259531,-0.004623211262733326,G3
4,CAMPECHE,8,TENABO,0.12688435688248004,0.4575970092201623,-0.9271444303981548,-0.6666026785077531,-0.1842229484213542,0.30501937564383075,0.04879532188745723,-0.01221717715924365,G1
4,CAMPECHE,9,ESCARCEGA,0.13229523614215005,1.2117799744196964,-0.5184339020536037,0.46300792317284,0.9831559553923545,0.20834946933197804,0.08936580221529172,-0.0012566855017702408,G1
4,CAMPECHE,5,HECELCHAKAN,-0.06488802167764438,0.960174511211468,-0.8857734712424171,-0.30605197155401626,0.09750426861475256,0.050868455164410686,0.07545457545396238,0.03073387851617645,G1
4,CAMPECHE,6,HOPELCHEN,-0.2108970206152099,1.2323037872693834,1.5138215788421758,-0.0619513006489569,-0.107966786289884,-0.13914080725176678,0.16209407112352212,-0.015287020188385824,G3
4,CAMPECHE,11,CALAKMUL,-2.3601230726739693,0.7831054658225749,1.7816881421544175,-0.6318277476715111,-0.0870497476605659,-0.527302720622714,0.13844943459578848,0.03193206956711623,G3
4,CAMPECHE,7,PALIZADA,-0.6734764030728358,-0.34866442476441495,1.8908182736947627,-0.7540883841720246,0.2264628534877761,-0.6908405153666981,0.3053892613954051,0.033196753249543944,G1
4,CAMPECHE,10,CANDELARIA,-0.3604987909989789,1.4761148693357162,1.0862581217413882,0.21758664632347186,0.5294431704483586,0.2555550396062769,0.1564237261652421,0.0039503053820894,G3
4,CAMPECHE,4,CHAMPOTON,-0.4199748567312116,2.1342867051686483,-0.2988158913442677,0.6244471939724211,0.5544603354573763,0.6258521114410106,0.09812409628280287,0.028672461496619582,G3
4,CAMPECHE,2,CALKINI,-0.3103828481084872,1.2725434427381366,-0.6789860067106233,0.036921132235322826,0.4445876499714622,-0.033118582377040524,0.18763324061069345,0.013001921435400124,G1
4,CAMPECHE,1,CAMPECHE,-0.9616469989023814,2.6061056273749093,-0.7408966341873651,0.7126015959265538,0.5554052892575728,0.07786654740169445,0.15728223383732395,0.038093062852163365,G3
4,CAMPECHE,3,CARMEN,-1.2174020297390733,2.264375121708003,1.0397075570314365,0.2827751379777709,0.5165161127807024,-0.59678783706094,0.19769801769708265,0.06652869634754742,G3
5,COAHUILA,13,HIDALGO,-0.6587428464757805,-2.0842285555671376,-0.05379719758077188,0.09627104914151102,1.5885773234049332,0.4174269895689552,-0.6887948031118051,-0.02758343555761884,G2
5,COAHUILA,2,ACUÐA,1.285417254005344,0.9505412334224452,0.6381728892382932,-0.4176498153758499,-0.6986054888351914,-1.935962248262476,-0.13536801693284908,-0.05142603314706951,G1
5,COAHUILA,14,JIMENEZ,0.9835338392576546,0.0914226729722197,0.8550166602025543,-0.8544433787002371,-0.41106139165817257,-0.4294794031730624,-0.17130724984797807,-0.018559627658410682,G1
5,COAHUILA,31,SAN BUENAVENTURA,0.3551142528156869,-0.2072259887221216,1.80460744385218,-0.8740568222414354,0.4558174299726234,-1.4926524999462158,0.06515367519748883,-0.00930465717739468,G1
5,COAHUILA,24,PARRAS,-1.329262326417844,0.8933421216766747,2.1781263768098365,-0.6888117321327912,0.3647366812358932,-1.0072988473997797,0.28485767811010204,0.00733231059241946,G3
5,COAHUILA,38,ZARAGOZA,0.6286686235944013,-0.004478653468498216,0.7041141660856459,-0.6270375418654969,0.16369059250521684,-0.5570090278095192,0.049539272413924064,-0.0611261915206272,G1
5,COAHUILA,30,SALTILLO,0.6646881189735336,3.3498143903015536,1.0528843556457692,1.4693498877076476,-0.10686896299642924,-0.1812881390254726,-0.0847782059846511,-0.05357103825440854,G3
5,COAHUILA,23,OCAMPO,-0.6611056136881288,-1.472697114150683,3.3948627528078945,-0.23374930316056144,2.6767090362129102,-1.3235551981493692,0.3630253277413327,-0.006694159488758359,G2
5,COAHUILA,34,SIERRA MOJADA,1.0219083234151158,-3.633055978038246,4.1095872641930935,0.8710368095915649,4.84462682514353,-1.8710265210597947,0.3733916895951043,-0.04233282002515755,G0
5,COAHUILA,36,VIESCA,-0.9581696482073496,0.8397790532317431,1.8641153900217988,-0.7435462983629108,-0.025958658228746937,-0.3265931967972449,0.2129321273135986,0.01896465220880944,G3
5,COAHUILA,17,MATAMOROS,-0.4218098786768544,2.3264780231232174,-0.20534780827058305,0.9297535469574002,0.7850061470259667,0.7763858538611353,0.0538620000631649,-0.011617494382269932,G3
5,COAHUILA,25,PIEDRAS NEGRAS,0.6839240313286934,1.3855362780305749,-0.9262000427885284,0.08568205853718099,-0.11512663797555342,-1.0497677766481597,-0.018522617426934004,-0.03341685885884453,G1
5,COAHUILA,9,FRANCISCO I. MADERO,-0.14102390548250462,1.52795578273669,1.8312018655195668,-0.10130354228855748,-0.0672792578027915,-0.33142077242196016,-0.04089130530484172,0.01882592818512851,G3
5,COAHUILA,27,RAMOS ARIZPE,2.9701627852625467,1.5080316887788046,1.79630175715759,0.6198317642608018,-0.6356766056096618,-0.5245912819075851,-0.5396158297237181,-0.0947697957883969,G0
5,COAHUILA,35,TORREON,-0.445298474085733,2.1436097044407414,-0.7645567413107371,0.3242672573044112,0.3273564863940143,-1.4570129390495952,0.11079865957335966,0.02796962649663619,G1
5,COAHUILA,1,ABASOLO,2.290926331396128,-1.960709023461703,0.10695295247183192,0.0592848889078454,1.737838796583795,0.434490412364989,0.33246588875581845,-0.1336647213954973,G0
5,COAHUILA,5,CANDELA,-0.6183274467108634,-0.8479150480175328,-0.2685286362429161,-1.0518506406482813,0.9591631575129446,0.5235482409716905,0.12447552693369285,0.07921866583405071,G1
5,COAHUILA,11,GENERAL CEPEDA,4.296072547423641,0.1597852886509933,2.0164141706737433,-0.15548004133688118,-0.9943709884762816,-0.3487495974699141,-0.914994892283744,0.15242422849981058,G0
5,COAHUILA,12,GUERRERO,-1.6874521340869182,-1.3443074852088708,2.378374382353456,-1.5328773338817685,0.10584122379916812,-0.7663679899728315,-0.2493366375242465,0.04914653244017904,G2
5,COAHUILA,16,LAMADRID,0.8852892190169299,-1.2036840443705237,-0.3357235034324588,-0.5560271777468148,1.2488140059570505,0.496245983594886,0.06876217285939057,-0.06897203260018135,G1
5,COAHUILA,26,PROGRESO,0.1369967085195122,-0.8491200347759147,-0.2972313878308308,-0.435620599416816,1.2108995607126103,0.34721473077570103,0.19931578435230154,-0.042823108658460986,G1
5,COAHUILA,33,SAN PEDRO,-0.7213678054020415,2.614860721151961,2.1527145574596016,0.6036969447726609,0.08822462078768263,0.5343834767423742,0.08044942187580365,-0.007258731253360841,G3
5,COAHUILA,6,CASTAÐOS,1.1739240234703845,0.2146154363001139,1.3752348907781329,0.0680847438370834,0.4105316088451384,-0.6792107041409537,0.15045155414239927,-0.06561823107103629,G1
5,COAHUILA,18,MONCLOVA,-0.10818068832834968,1.3868377817600859,-0.5066165840373277,-0.138525201303555,0.046468398025254036,-1.4680270873926655,0.13209403040083026,0.0042554684917073884,G1
5,COAHUILA,7,CUATROCIENEGAS,-0.7847192790945696,-0.2709742058502953,2.097040133762246,-0.8542666036630455,0.9260776345830044,-0.8975023907738086,0.4294029385170282,-0.015052304792239813,G1
5,COAHUILA,4,ARTEAGA,2.203742364040419,0.928469805825522,1.2324625127786697,0.033892461601047995,-0.4255217378235545,0.0008182639923543434,-0.5046306514540831,-0.042879482915423886,G0
5,COAHUILA,28,SABINAS,1.1641448914370398,0.8104095997286546,-0.3935859224482011,-0.1186415992368944,-0.14961615594880467,-0.8667650901517407,-0.0340411402392029,-0.06236654230531075,G1
5,COAHUILA,15,JUAREZ,0.7193705546499091,-1.448509957307854,-0.0463681396199804,-0.10767862919879186,1.0817318302862822,0.6106796678610802,0.2394171367193439,-0.07448454893259902,G1
5,COAHUILA,32,SAN JUAN DE SABINAS,2.3706750960629686,0.39079219380696656,-1.2014797741362808,0.4537939679415186,0.8102014640585087,-0.31186609567508666,-0.2656693362850781,-0.06122754030993027,G0
5,COAHUILA,22,NAVA,0.7699027000234747,0.3098961139659119,0.4324942492688317,-0.6374136213694648,-0.2287822196772143,-0.9973278990568772,0.04214779391924483,-0.0628167079022668,G1
5,COAHUILA,29,SACRAMENTO,2.005560871323577,-1.6255475671035584,-0.3254573767401336,0.21441698984216886,1.6473707698141469,0.399330323709202,-0.061176949382935136,-0.10970680209915304,G0
5,COAHUILA,3,ALLENDE,0.2948761817797351,-0.018051448481477037,-0.06877850603702625,-0.27024071222555185,1.1385455912762183,-0.6184787684280071,0.20063180624467628,-0.040412953018476236,G1
5,COAHUILA,10,FRONTERA,-0.8996035150176618,1.077678375965886,-1.5546422763142207,-0.2934788027112013,0.6468311903701697,-0.5974927749884339,0.2743509568974196,0.009963111111740487,G1
5,COAHUILA,37,VILLA UNION,0.22446907113868755,-0.2962058258939949,1.004325267898175,-1.189245441476772,-0.1838114301868322,-0.5262415667132767,0.011476688587781407,-0.026675908460746568,G1
5,COAHUILA,21,NADADORES,-0.9873459303141326,-0.3891680286157447,-0.3081840358951611,-0.6238353401153536,1.4587042528597272,0.1668402761585977,0.38659311292496384,-0.013127696128162005,G1
