EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,NUM_SECC_RUR,log(LNE),log(Densidad_LNE),Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Var_Prop_LNE,Autocorr_LNE,CP1 (ICE principal),CP2 (segundo ICE),CP3 (tercer ICE),CP4,CP5,CP6,CP7,TCE_municipal,Atipicidad
1,AGUASCALIENTES,10,SAN FRANCISCO DE LOS ROMO,3,10.460729095610086,8.179206682052586,0.9892716837413312,0.03749814292081415,0.0150845428418134,0.017733047222859545,0.7559389344840048,-0.9953308725890464,0.7455331268956891,-1.3896329042993083,0.43464946569793605,0.1056386738486334,-0.2595024494493082,-0.19624028704968088,G3,Tipica
1,AGUASCALIENTES,8,SAN JOSE DE GRACIA,4,8.84130362048157,3.8382563465778925,0.991803408929023,0.00028935185185185184,0.008344741284002366,0.008887311775021608,0.23706138459991455,-3.3189025992577057,-0.6199868956836041,0.7238976970947467,0.19399490938176425,-0.9693110048609878,-0.6518173042944477,-1.0348568829121139,G0,Tipica
1,AGUASCALIENTES,9,TEPEZALA,6,9.651494322492853,7.815479588607111,0.9906353256276796,0.0051079787921893185,0.011777095770194292,0.011920564133364566,0.3445667085761423,-2.757467715076769,0.08145643694226097,-0.9081526150208542,1.115721619046519,-0.5581793690151884,-0.004695928158667245,-0.7059794108727734,G0,Tipica
1,AGUASCALIENTES,11,EL LLANO,6,9.620262200801289,7.317046094338124,0.9910163386198628,-0.003373462098161132,0.012239282940131513,0.014231600764823325,0.5040196044462911,-2.523745379622404,0.2608101913494259,-0.7385361475701879,0.676100810063594,-0.3838892802002424,-0.04841228170206699,-0.12621695077402778,G0,Tipica
1,AGUASCALIENTES,2,ASIENTOS,11,10.440623991091917,7.302983199358161,0.9890798721132029,0.0018736459980092512,0.013432340094443608,0.01539656625007232,0.3747379431890598,-2.4902472086144325,0.4537462361466476,-0.4506924448253808,1.5078638833443312,-0.4962840769794546,-0.20770017443952088,-0.4974062371243727,G0,Tipica
1,AGUASCALIENTES,3,CALVILLO,14,10.745571845870444,5.9139881451467335,0.9911496521656052,-0.006144163045107147,0.013265537498513787,0.015719269115306998,0.4840590687888893,-2.4420646645481887,0.9093253416772358,0.17543209692810546,1.0181083634035868,-0.6278040045100496,-0.4207701562751789,-0.09969689865238424,G0,Tipica
1,AGUASCALIENTES,4,COSIO,2,9.360741172643708,7.899502756377767,0.989895850669894,-0.0024888431170614488,0.011839799128126927,0.013460547546758982,0.3906463975183835,-2.7684722034213416,-0.210834357050642,-1.089390437984116,0.9406836402819592,-0.3820638158408916,-0.07927575142018181,-0.4219501061059311,G0,Tipica
1,AGUASCALIENTES,5,JESUS MARIA,6,11.319389258408677,7.999920182637315,0.9911337159774044,0.01308089500860585,0.010581266983160259,0.01135704992385827,0.4227145205528665,-2.470963243593809,0.9569123525051828,-1.107299696966462,1.2455983891377045,-0.34073217352524543,-0.6381619037685673,-0.7493788438936648,G0,Tipica
1,AGUASCALIENTES,6,PABELLON DE ARTEAGA,5,10.35047840747279,8.551918560318011,0.9928562557461952,0.002339818583928972,0.008622428397604213,0.009360989005979634,0.4213822732953025,-2.9311565549154377,0.7303714319720459,-1.3663784221104809,0.9084670016980841,-0.3407181523235378,-0.14550333104386032,-0.6247108653245648,G0,Tipica
1,AGUASCALIENTES,7,RINCON DE ROMOS,6,10.534892299260504,8.159431614317082,0.99207913197021,0.0019183118855407239,0.0107081049122981,0.01216676373822124,0.35549146383704544,-2.891218810377066,0.6125485729100453,-1.1323413781986704,1.2111067779306943,-0.5669842526883319,-0.28997889373042984,-0.6804172990734122,G0,Tipica
1,AGUASCALIENTES,1,AGUASCALIENTES,9,13.3822137153741,8.651145978131689,0.9907184444392284,0.00047063325633464647,0.01136687567648378,0.01241970558366465,0.4194348622072133,-2.515369411763144,1.8912318028932664,-1.2961788654587056,2.078733672939859,-0.2625913550636515,-1.2521388003979734,-0.4855103257839602,G0,Atípica en segundo ICE
2,BAJA CALIFORNIA,2,MEXICALI,41,13.579284300026266,7.694416749117088,0.9893057386834749,0.003524272745412281,0.013681319681545642,0.015151891104261381,0.3733216891807398,-2.2112681974951625,3.0739232217300048,0.6464185683647622,3.2045372892806028,-0.5097281773389482,0.11643225213496836,-0.6043950308500058,G1,Atípica en ICE principal
2,BAJA CALIFORNIA,4,TIJUANA,26,14.177186774663054,8.793690252658177,0.9889809900644216,0.005466662184647965,0.01409836620128881,0.013748992510608037,0.3668337049362833,-2.192507302134104,2.6982054820852057,-0.5439785034566821,3.1504467553909774,-0.3854903634547942,-0.7004092834834478,-0.6149548642797197,G1,Atípica en ICE principal
2,BAJA CALIFORNIA,3,TECATE,3,11.353143961770513,7.438704977650633,0.9882333661288336,-0.012604117190486671,0.01767090638031471,0.020106376169751076,0.4577988073815484,-2.2148002376174265,0.4036556531005389,-0.9190296254338656,1.6219104115080152,-0.5235218450330879,-0.9931671264128245,0.2059383591074416,G0,Tipica
2,BAJA CALIFORNIA,1,ENSENADA,37,12.89827187692825,2.7371202816438482,0.9885625739612708,0.0003279180955718541,0.013202716447074206,0.013986895231114222,0.3606688164903901,-2.225891193831827,2.1755078870498963,2.6076330725830554,2.134051894023244,-0.8462711124193244,-0.8945763308333224,-0.5855546772059912,G1,Atípica en ICE principal
