EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,TCE_municipal
1,AGUASCALIENTES,10,SAN FRANCISCO DE LOS ROMO,-1.2127298521932801,0.7143446263715731,0.9235400967110264,-0.60338169271064,-0.0846398482087348,-0.7824495305165696,-0.2619162630848836,-0.003055865447408029,G1
1,AGUASCALIENTES,8,SAN JOSE DE GRACIA,-3.4066875526980533,-1.3627977391531148,0.7546666347541239,0.41580950591470095,-0.8855995764113354,0.27284428984086456,-1.0932978642133402,0.029087764198549325,G0
1,AGUASCALIENTES,9,TEPEZALA,-2.7954307782752736,-0.3915670123369001,1.26684758600293,0.33762283014456473,-0.6934607611292806,-0.6572873394072678,-0.8647589542046573,0.09980600850457788,G0
1,AGUASCALIENTES,11,EL LLANO,-2.5241973183364497,-0.4870148162669216,0.7243758599668806,0.1724574881669062,-0.7177821141587509,-0.3403823843329533,-0.18777269497191235,-0.019982563523814344,G0
1,AGUASCALIENTES,2,ASIENTOS,-2.419575435259337,-0.5696471451444329,0.8757521756116026,0.9152935323012532,-0.7180305717610456,-0.3916930141398744,-0.59220324261627,-0.023749300194947358,G0
1,AGUASCALIENTES,3,CALVILLO,-2.470322299852701,-0.5636093540368975,0.13828484373894834,0.9227003516676532,-0.9406971676611536,-0.03836110651008135,-0.13970863420459162,-0.050688013643598234,G0
1,AGUASCALIENTES,4,COSIO,-2.6834084427673304,-0.4261648945490403,1.5348583891231025,0.0985287957952084,-0.6167523622287377,-0.651088546250303,-0.5297919597072607,-0.00793589506381651,G0
1,AGUASCALIENTES,5,JESUS MARIA,-2.760525114806339,0.35835281532017,1.2714568014836027,0.2526998633277995,-0.5151534250616091,-0.4079138984146233,-0.8445049668625251,0.05575725013395158,G0
1,AGUASCALIENTES,6,PABELLON DE ARTEAGA,-3.2394576449083874,0.7867358035352123,1.764538411230104,-0.2405771131790556,-0.512305865870445,-1.4908591609705633,-0.8145316860133628,0.04018862775240418,G0
1,AGUASCALIENTES,7,RINCON DE ROMOS,-2.9792363529073222,0.14105013585022674,1.5006239895557505,0.21996695246206227,-0.7960986812582155,-0.9041928760241208,-0.8344265732287928,-0.004735901536660158,G0
1,AGUASCALIENTES,1,AGUASCALIENTES,-3.116863258387645,4.533693558756164,3.0874619807174506,2.165400112671541,-0.5137193322884316,1.7970005392619917,-0.40563678884130977,0.04422666312545262,G4
2,BAJA CALIFORNIA,2,MEXICALI,-2.895320078330998,4.695377023721463,0.9428603108527122,5.040840576093881,-0.7719420429491913,2.8002645918867732,-0.4910712987585106,0.019139340216397974,G4
2,BAJA CALIFORNIA,4,TIJUANA,-3.234762389366049,9.615897916000968,4.181479254838925,5.872466046250138,-0.5352528940273077,5.5518576957640855,-0.32147244450046203,0.17305481917134766,G4
2,BAJA CALIFORNIA,3,TECATE,-1.8999085235300683,-0.3713873709178536,1.5317922633449617,0.7120242307973798,-0.9241386170666698,0.013410632708421856,0.16042474327784986,-0.017602511180701,G0
2,BAJA CALIFORNIA,1,ENSENADA,-2.7756800838552333,1.5573621614320687,-0.14207724216697218,3.791223578959829,-0.7159204674836658,1.4237577730674815,-0.553179001019282,0.057305254700871715,G3
2,BAJA CALIFORNIA,5,PLAYAS DE ROSARITO,-2.0658498073821803,0.03960881346596815,1.9708208307436341,0.5907163074064742,-0.5187119968542885,-0.24509682413179465,-0.5901485332548999,0.17097535762408878,G0
3,BAJA CALIFORNIA SUR,1,COMONDU,0.3177198751046918,0.4335270733343083,-1.4862369651913638,0.7062208250865001,0.06045807925720933,-0.06828188222751361,0.01871544645276513,-0.012860144030086429,G3
3,BAJA CALIFORNIA SUR,3,LA PAZ,-0.21778883430304796,1.5373792108853013,-1.5597985859164574,1.2285805024486298,-0.2535410907746481,0.6850203175232977,0.12295469408385065,-0.03410338611554093,G3
3,BAJA CALIFORNIA SUR,5,LORETO,-0.11768211238299266,-0.3240482513500927,-0.4382347624991308,-0.5238419546418084,0.2730041985808377,0.3577807543276607,0.3500642515327267,0.021560523279378883,G1
3,BAJA CALIFORNIA SUR,4,LOS CABOS,0.9941280508051482,1.5267718090897382,-0.3329780712264406,0.3560997748669176,-0.5888914984194618,1.074190600775326,0.021745080989812676,-0.07892186345592657,G1
3,BAJA CALIFORNIA SUR,2,MULEGE,1.2224552022254334,0.025489014691146703,-0.8624893453251293,0.5995098935588629,0.3404662400546464,0.08669849008720623,0.030813753509278306,-0.021984455292823328,G2
4,CAMPECHE,8,TENABO,0.1534434506585776,0.2720732592063796,-0.4091831799560943,-0.9262029307068136,-0.27702697472649895,-0.04625281939371317,0.030775453205033755,-0.0065383247251465295,G1
4,CAMPECHE,9,ESCARCEGA,0.14489904886429836,0.6441023169789146,-0.33407103469310184,0.1603546955775444,0.7294585069346577,-0.5429578171573176,0.026718433703639927,-0.008218934346701897,G1
4,CAMPECHE,5,HECELCHAKAN,-0.04007611382172485,0.4437140578195883,-0.4584772158994413,-0.6956111551271121,-0.06899421985911454,-0.13869602394341773,0.05723006224867839,0.026940850854703883,G1
4,CAMPECHE,6,HOPELCHEN,-0.21820247095940135,0.1729365159897201,-1.3856755833676069,0.5310141638677788,0.11437285472171092,-0.17484664663943056,0.16979849407316225,-0.01942297192886817,G3
4,CAMPECHE,11,CALAKMUL,-2.37451553771196,-0.0750253518151236,-1.2123274170733946,0.053799221984832835,0.3278580030227817,-0.014180247098633155,0.17330493945695866,0.025253846168537302,G1
4,CAMPECHE,7,PALIZADA,-0.6948616887558009,-0.5158810879860752,-0.4594789227023253,0.015415338727744775,0.7448626268122437,0.16107949154223808,0.3567152949732353,0.02829806980273697,G1
4,CAMPECHE,10,CANDELARIA,-0.3516484845240004,0.24790273901956705,-1.5065781974915473,0.7329516253075857,0.5574003719400792,-0.2569105658404534,0.13705306650651464,0.002440764857722898,G3
4,CAMPECHE,4,CHAMPOTON,-0.4210430777725804,1.2621956358254265,-1.0126193096363292,0.4922048787836909,0.2770162621605277,-0.830536457362172,0.002443753365135696,0.02715356478378908,G3
4,CAMPECHE,2,CALKINI,-0.2911484282171008,0.5534332306306665,-0.5374472192802474,-0.3108650912994557,0.23196541226541784,-0.18529280197131812,0.168005861579508,0.004305001412749981,G1
4,CAMPECHE,1,CAMPECHE,-1.0356813825519704,2.5077997977302218,-0.35818296962348634,0.5160929246511374,0.22151291635471448,-0.3474965414961472,0.10975158732211847,0.02470582202349273,G3
4,CAMPECHE,3,CARMEN,-1.268532473563122,1.1806246561289782,-1.3888430977784192,0.896708531924307,0.502276093493214,0.6697639218130313,0.2817316307265377,0.046618388047256834,G3
5,COAHUILA,13,HIDALGO,-0.6331578662783535,-1.261805611504372,1.0164864058085246,0.3033423796007925,1.5558983936656436,0.29965378551435595,-0.693415999099221,-0.01672812677825881,G0
5,COAHUILA,2,ACUÐA,1.241734458201857,0.4258694755151453,-0.15567626190165135,-0.4413480306520504,-0.4770068920760548,1.0636084659896947,0.030307588746859408,-0.08697792538158196,G2
5,COAHUILA,14,JIMENEZ,0.9788159929037956,-0.1660492210160407,-0.5971665524548019,-0.4633736008546158,-0.09259810243078814,0.2819793659525273,-0.12190194311933507,-0.020469080166833447,G1
5,COAHUILA,31,SAN BUENAVENTURA,0.3285898741909026,-0.4832085583308686,-0.1861714840928639,-0.31739198377834404,0.9972375795754708,0.4760265061040405,0.1669967344340325,-0.030677468494029032,G1
5,COAHUILA,24,PARRAS,-1.3588228538534255,0.012787072672846057,-1.14270402592638,0.1140308325384656,0.8693712042639478,0.12419535781426108,0.3470042098489867,-0.008814617975778179,G1
5,COAHUILA,38,ZARAGOZA,0.632595258788109,-0.3346633116702647,-0.3897699297047325,-0.3460873032340774,0.3955964134300745,0.3224404816000444,0.10234926197954608,-0.06803100354382484,G1
