EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,CP1,CP2,CP3,CP4,CP5,CP6,CP7,TCE_municipal
2,BAJA CALIFORNIA,4,TIJUANA,-2.192507302134104,2.6982054820852057,-0.5439785034566821,3.1504467553909774,-0.3854903634547942,-0.7004092834834478,-0.6149548642797197,G1
2,BAJA CALIFORNIA,3,TECATE,-2.2148002376174265,0.4036556531005389,-0.9190296254338656,1.6219104115080152,-0.5235218450330879,-0.9931671264128245,0.2059383591074416,G0
2,BAJA CALIFORNIA,1,ENSENADA,-2.225891193831827,2.1755078870498963,2.6076330725830554,2.134051894023244,-0.8462711124193244,-0.8945763308333224,-0.5855546772059912,G1
2,BAJA CALIFORNIA,5,PLAYAS DE ROSARITO,-2.1072582924882743,0.34638179899456906,-1.1837321271235828,1.8291914604719768,-0.4124713707174655,-0.9986491382541244,-0.4689276789094813,G0
3,BAJA CALIFORNIA SUR,1,COMONDU,0.7157775650210941,1.4777515680364093,1.8010539259136225,-0.07793108091181768,-0.1325564074663558,-0.42403496173276345,0.003310087803622137,G1
3,BAJA CALIFORNIA SUR,3,LA PAZ,0.3914607432947169,2.5188789524954545,1.4963148112695035,0.22455084198610706,-0.2343005679263496,-0.5739746867389158,0.05140341526011078,G1
3,BAJA CALIFORNIA SUR,5,LORETO,0.15515744495276138,-0.14975210093735306,1.4588539260701563,-1.1107868529833422,0.029414050382679538,-1.1073947731272582,0.2513819456124048,G3
3,BAJA CALIFORNIA SUR,4,LOS CABOS,1.0715134859888231,1.843845823814328,-0.6478321148907691,0.4879833776876791,-0.3411881318151209,-0.8164363091845191,-0.042256941237898825,G3
3,BAJA CALIFORNIA SUR,2,MULEGE,1.3551605384457677,0.5556249232497588,2.045067358089317,-0.06639362434155957,-0.056635902678679524,-0.9588649512556318,-0.010823255931129606,G1
4,CAMPECHE,8,TENABO,0.23689752867162894,0.4151589766577593,-0.9557637040182108,-0.6455283245943912,-0.07055493791507016,0.30513135029230554,0.04424412908724469,G3
4,CAMPECHE,9,ESCARCEGA,0.4957750871504951,1.1228345843822256,-0.5219279178189415,0.7121219538287182,0.7865225185008641,0.21490919222997049,0.0062266530430384855,G3
4,CAMPECHE,5,HECELCHAKAN,0.2073154851303258,0.93204158106398,-0.8960081884056865,-0.24421858088408385,0.12728567941216448,0.05237975312657981,0.06141577710007313,G3
4,CAMPECHE,6,HOPELCHEN,0.18142973491379766,1.1959856688434978,1.5268359950723929,-0.18692160273535507,0.020389176638553986,-0.13750859904796464,0.1438205471901791,G1
4,CAMPECHE,11,CALAKMUL,-1.5141332246597532,1.0377866276862306,1.8070241079105718,-0.8387176795222129,0.2302780638102225,-0.5230623992471304,0.0768467238803941,G1
4,CAMPECHE,7,PALIZADA,-0.3037981834819708,-0.36379694541187696,1.8402376327639869,-0.7559713592077757,0.4345385330278223,-0.6847226886742174,0.238773892949398,G3
4,CAMPECHE,10,CANDELARIA,0.19698518238987173,1.4317942815835418,1.0956888490665149,0.2609657992233977,0.5128660170783754,0.2608661755372337,0.08888503233696282,G1
4,CAMPECHE,4,CHAMPOTON,0.14444120799762525,2.1465877754636296,-0.25207847190833355,0.691728578862844,0.433062997414559,0.6296815714198672,0.05196259332082615,G1
4,CAMPECHE,2,CALKINI,0.0892415917821439,1.271270147480635,-0.671781640327225,0.13592799320923374,0.4313519246736932,-0.02845543982476845,0.13532210439706446,G3
4,CAMPECHE,1,CAMPECHE,-0.23984296416049536,2.7117643862636727,-0.6669063275268843,0.7458853520595233,0.467849504330713,0.08244566923093481,0.10651033803345973,G1
4,CAMPECHE,3,CARMEN,-0.3212737863727876,2.334388279408153,1.0820691413328474,0.2624935671798405,0.5466111041628147,-0.5909192594681371,0.13372716700432402,G1
5,COAHUILA,13,HIDALGO,-0.5941612974484487,-2.0690543927822467,-0.12786291349830112,0.5691464022625176,1.20825283897908,0.4232893296428656,-0.8196875441175224,G0
5,COAHUILA,2,ACUÐA,1.2159536691973123,0.7314655671651565,0.6147545782763512,-0.5506399958604992,-0.5735463281022862,-1.9412255558273301,-0.06551368228198412,G3
5,COAHUILA,14,JIMENEZ,0.9702919958302164,-0.1294175817056259,0.7868993966438063,-0.8779892977930952,-0.29608926082415604,-0.4325341953863345,-0.1412348467073542,G3
5,COAHUILA,31,SAN BUENAVENTURA,0.6509928897512189,-0.4192152753507651,1.7089800551556875,-0.7340476048221384,0.5591871636697149,-1.4870803022296046,-0.005953542122665997,G3
5,COAHUILA,24,PARRAS,-0.5186577133077556,0.932594199902636,2.153981074186217,-0.7307557762639972,0.6169692689620634,-0.9992915823239436,0.18426062069494334,G1
5,COAHUILA,38,ZARAGOZA,0.705399173619005,-0.1814735775848781,0.6395487514020859,-0.5409886119003416,0.2478768704765744,-0.5541398528430451,0.0062126844429941964,G3
5,COAHUILA,30,SALTILLO,1.039791181708244,3.2486306226305266,1.161129223822983,1.2873290822508447,-0.2670521438789125,-0.18449840842916249,-0.04479397898070412,G1
5,COAHUILA,23,OCAMPO,0.025873373424964964,-1.6692451546329528,3.2528048150481674,0.3741856897615979,2.4996611718372215,-1.300480101215323,0.06679258625815468,G2
5,COAHUILA,34,SIERRA MOJADA,1.2352655815477669,-4.15011469119565,3.875443457545999,2.1215229056694223,4.095110159420377,-1.836402811845259,-0.06638585213025774,G2
5,COAHUILA,36,VIESCA,-0.32205711714275825,0.8569439908303977,1.8432202608744093,-0.8490690846442875,0.23281904108710386,-0.3223494815787292,0.1596992460431556,G1
5,COAHUILA,17,MATAMOROS,0.17523653496147096,2.338888303229768,-0.1465439387794948,1.0303006212606762,0.5973718337256357,0.7813352925490837,-0.015562844634890438,G1
5,COAHUILA,25,PIEDRAS NEGRAS,0.7584150503370002,1.2850487796769663,-0.915199511458935,0.09306757990590328,-0.12925150623903814,-1.0510723339444374,0.0031107553054034323,G3
5,COAHUILA,9,FRANCISCO I. MADERO,0.3796544859166074,1.4445571433471636,1.834535589301256,-0.2047440499717048,0.00908336664403886,-0.3312221795770758,-0.04674109915339246,G1
5,COAHUILA,27,RAMOS ARIZPE,2.618662530296108,1.0421836168444079,1.7870582843964715,0.509663609913784,-0.8268882621910761,-0.5353066419968447,-0.4205808144432395,G1
5,COAHUILA,35,TORREON,0.09434561975474648,2.1715331502850788,-0.7228111234257658,0.3566407711483074,0.3028098530432343,-1.4539920313127777,0.08640330446323496,G3
5,COAHUILA,1,ABASOLO,1.7624857414966393,-2.3917524985798355,-0.03628479537680146,0.6690696842124039,1.4323026328815875,0.4475731262500558,0.1661350579739331,G2
5,COAHUILA,5,CANDELA,-0.23291399859871434,-0.8965627569651973,-0.37216182275322734,-0.7170097333970835,0.9723521811854724,0.5325448420842964,0.00845263748667089,G3
5,COAHUILA,11,GENERAL CEPEDA,3.611720707661382,-0.5593792427624934,1.9063767872590889,-0.14664466990034006,-1.3141508444107741,-0.36721311667730266,-0.6748126512668099,G2
5,COAHUILA,12,GUERRERO,-1.1363857860376894,-1.256778090257758,2.2905119381556385,-1.5446352440695523,0.3742227084805956,-0.763177511662128,-0.31738128233750523,G0
5,COAHUILA,16,LAMADRID,0.8211295097271933,-1.4455406957729684,-0.4569011382013333,-0.0976245365049669,1.1041197736645958,0.505793758155272,-0.0679364088666279,G2
5,COAHUILA,26,PROGRESO,0.2571699790427545,-0.969634868895528,-0.3851852209320207,-0.052351838588889095,1.1254174945755828,0.3578447719063141,0.05675348815965736,G3
5,COAHUILA,33,SAN PEDRO,0.04930321833724236,2.632450915954728,2.2210772715807847,0.4221002058819168,0.12652739570827698,0.5363164606856516,0.04951841991463396,G1
5,COAHUILA,6,CASTAÐOS,1.1479877238790852,-0.03578966247533594,1.330194661044101,0.17701516104631362,0.3676645536341062,-0.6753605170857514,0.10602669650953024,G2
5,COAHUILA,18,MONCLOVA,0.2277901884924774,1.3669256201659208,-0.4977814247025956,-0.1370017291031802,0.11871538410893533,-1.4661045837950415,0.12030744822918887,G3
5,COAHUILA,7,CUATROCIENEGAS,-0.19658326290164915,-0.3373813632855065,2.015278902078854,-0.6849040277768895,1.1076941563723248,-0.88479209315302,0.2724901881026211,G3
5,COAHUILA,4,ARTEAGA,2.0168007620737107,0.544651536270808,1.19166858679857,0.01283523750126802,-0.5584187351267965,-0.007208515855758414,-0.4222215336906411,G2
5,COAHUILA,28,SABINAS,1.0780439738197174,0.6244565829621014,-0.413798635853711,-0.09173876398616423,-0.14916519754437624,-0.8682205573765572,-0.015147308294947847,G3
5,COAHUILA,15,JUAREZ,0.4913344387137295,-1.6069178329014755,-0.12741934406703534,0.2456547810503048,0.9497876993270258,0.619811833557679,0.11940608619456702,G2
5,COAHUILA,32,SAN JUAN DE SABINAS,2.0540493819153465,0.0030328921346734128,-1.2637126593419874,0.8389333512807867,0.4324646109054571,-0.3110587738867596,-0.2840193444462119,G2
5,COAHUILA,22,NAVA,0.7782451605654133,0.14384010876168787,0.38547025048874856,-0.648942842602158,-0.09039087417984393,-0.9972807349408166,0.040070282637969135,G3
5,COAHUILA,29,SACRAMENTO,1.5691608147562386,-2.003421677448713,-0.4483390516056296,0.8092307739767678,1.2505758851418805,0.4084766976624432,-0.19476728997642914,G2
5,COAHUILA,3,ALLENDE,0.5397679961055929,-0.17437532871718844,-0.1404546850149104,0.0687314833518425,1.0570022891138044,-0.6084864518926822,0.07326891068598756,G3
5,COAHUILA,10,FRONTERA,-0.38563990360505374,1.1598833394683783,-1.5578844928867066,-0.12524767037649634,0.6940096544402221,-0.5898136025908821,0.18467697781911255,G3
5,COAHUILA,37,VILLA UNION,0.3778824332071524,-0.4304280066727286,0.9235370809295024,-1.1855987070338323,0.0345904909520116,-0.52495333528373,-0.0133001893894023,G3
5,COAHUILA,21,NADADORES,-0.4585932325500102,-0.3801847342464317,-0.3839079872493316,-0.24045635230202406,1.4685624153855168,0.1818418621371488,0.19320277262033328,G3
5,COAHUILA,8,ESCOBEDO,0.6440896613850857,-0.8702102232254325,-0.551060142910929,-0.42841464644251537,0.3816571328684045,0.4255439907024899,-0.23980390113207625,G3
5,COAHUILA,19,MORELOS,0.559991974606946,-0.35680883321111745,-0.7885061698250546,-0.15113117052268815,0.7543975722934858,0.08602456676124896,0.10854466573807772,G3
5,COAHUILA,20,MUZQUIZ,0.8477807019382108,0.001193639513742735,1.3454228883466346,-0.2469367531568309,0.6172952202002648,-1.7923350200271284,0.048672188930454004,G3
6,COLIMA,2,COMALA,1.3444668468306462,0.3740519704343032,-0.22329348205145091,-0.4012086489471812,-0.6029520643270078,-0.24901842864487084,-0.14625128773929005,G3
6,COLIMA,10,TECOMAN,0.6839708614139832,1.4009192452745702,-0.6914483026071631,0.04000494785010222,-0.14285184557822111,-0.5727712719655161,-0.034724283696680916,G3
6,COLIMA,6,ARMERIA,0.07167708496660752,0.5100441106620517,-1.2357109715652126,-0.02112977653608164,0.2659813081682869,-0.1482116027715369,0.025157884179829903,G3
6,COLIMA,7,IXTLAHUACAN,0.8747524864067149,-0.6562685782065788,0.9378496615836232,-0.4191538255951802,-0.3547274729976903,-0.23502666768706346,-0.16301012649463312,G2
6,COLIMA,9,MINATITLAN,1.1509087048142836,-0.5175886690242704,0.30682822221705736,-0.30083885445633485,-0.5051563569933569,-0.3203293363218892,-0.16841722009261986,G2
6,COLIMA,4,CUAUHTEMOC,0.8415162180031761,0.5201478539586668,-1.1836847866117302,0.12728250900542926,0.21048543787697452,-0.04056198644937673,-0.015638700275612233,G3
