Componentes Principales,log(LNE),log(Densidad_LNE),Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Autocorr_LNE
CP1,-0.021382918072381078,-0.20439989743680864,-0.42393417653235294,0.5753942469433059,0.5700218077444443,0.34934204726981977
CP2,-0.6105576394441701,-0.5673263272430576,-0.2006104631827686,-0.18191728413646246,0.09722670015707728,-0.47177189393163343
CP3,0.3685735039644145,0.3332022191377039,-0.6796781536539912,-0.18353412042923836,0.11585046598807212,-0.4940256642637271
CP4,-0.6965213368554267,0.6981078773686421,-0.1147627194709627,0.030091490632572493,0.0423789539583079,0.10784926301795567
CP5,0.0736961219912783,0.1863835994095567,0.5475311018921405,0.056345306771492285,0.6852049004638305,-0.4328500649422853
CP6,-0.018510019315011905,0.056959169002199564,0.07149877030648535,0.7733450055127794,-0.42532228444371334,-0.46080301094959936
